case_id,source_power_W,Tmax_rise_K,TaIrTe4_volume_average_rise_K,max_abs_grad_a_K_m,max_abs_grad_b_K_m,max_abs_grad_n_K_m,max_abs_grad_t_K_m,max_grad_magnitude_K_m,linear_residual_relative,energy_balance_relative_error
Maxwell_b,3.735675195047275e-05,0.13553043716606747,0.009388405424211944,9169.77107869214,16852.884384774017,13193.92976799405,11410.457828245522,16893.682233333286,9.979593982365483e-10,4.4541118665572076e-12
Maxwell_a,2.8365870921873753e-05,0.13331810147763046,0.007131823191435954,9606.460385777349,18469.69403274614,14999.70586550474,11916.870167804273,18595.66976426924,9.991531658864245e-10,3.684153214073117e-11
analytic_b,3.769774234440354e-05,0.13847426566983487,0.009494234814438797,6315.548574618949,15357.658167740612,9325.735209378974,12531.711963258256,15531.1283053336,9.960163899510852e-10,5.363868642325703e-11
analytic_a,2.5304812906953503e-05,0.09569412296515586,0.006455165653861921,4279.831242704726,10445.118047504182,6322.082940876436,8540.490630431725,10566.789426656582,9.85132600237902e-10,6.490479368604028e-11
