case,A_Qx,A_Qy,A_Qz,A_Q,A_Q_pabs_adv,R,T,A_global,A_local,A_six_face,closure_fraction,closure_percent,baseline_closure_percent,closure_percent_point_difference,A_TMM,TMM_error_fraction,TMM_error_percent,mesh_coordinates_identical_to_bandwidth_sweep,dt_absolute_difference_s,source_norm_relative_difference,pass
flat_x,0.25759249642328014,0.0,0.0,0.25759249642328014,0.2575924964232801,0.7182830536245012,0.024131847193416045,0.2575850991820828,0.2575844340102469,0.2575844340102469,3.130007860984867e-05,0.0031300078609848665,0.0030112168923556114,0.00011879096862925523,0.2567229648800206,0.0033556371968081825,0.3355637196808182,True,0.0,0.0,True
flat_y,9.658067053887805e-34,0.4227573080653537,0.0,0.4227573080653537,0.42275730806535455,0.24011061340463258,0.337084236937506,0.4228051496578614,0.42275553911879127,0.42275553911879127,4.184324981223344e-06,0.0004184324981223344,0.0004184324981223344,0.0,0.42324401447328014,0.0011541222977406308,0.11541222977406308,True,0.0,0.0,True
flat_45,0.12879482729616554,0.21137865495549124,0.0,0.3401734822516568,0.3401734822516572,0.47919618998877156,0.1806083751405642,0.3401954348706643,0.3401690185966916,0.3401690185966916,1.3121873896868725e-05,0.0013121873896868724,0.0013121873906986317,-1.011759171451812e-12,0.3399834896766504,0.000545699793297763,0.054569979329776294,True,0.0,0.0,True
disk_x,0.4401967433144039,0.026212537037183615,0.0,0.4664092803515875,0.46640927738333476,0.48594643004392996,0.04756277772681545,0.46649079222925455,0.46612396705472053,0.46612396705472053,0.0006120910933136722,0.061209109331367216,0.0612063347892027,2.774542164519101e-06,,,,True,0.0,0.0,True
