polarization,P_Q_full_W_at_1_W_m2,P_Q_TaIrTe4_W_at_1_W_m2,six_face_closure,auto_shutoff,realized_effective_waist_um,mapped_Q_W_at_284p40uW,Tmax_rise_K,PTE_current_A,PTE_current_pA
a,2.0339292508338656e-11,1.9313409184087345e-11,0.00035829081670834753,9.69566e-06,8.792098723230682,4.0598993631165526e-05,0.16156158645632637,5.554954641958292e-09,5554.954641958292
b,2.7239033158096754e-11,2.6153631366652085e-11,7.731393019641864e-05,9.9966e-06,8.78988073530486,5.3823112102893526e-05,0.11085265675519296,3.93853912424388e-09,3938.5391242438795
