face,monitor,normalized_signed_axis_flux,signed_axis_power_native_W,outward_power_native_W,absolute_fraction_of_face_sum
x_max,paper_ir_abs_x_max,0.09659732754968778,2.259979705637749e-16,2.259979705637749e-16,0.09534439277090423
x_min,paper_ir_abs_x_min,-0.10355347895422401,-2.422725005144187e-16,2.422725005144187e-16,0.10221031803521163
y_max,paper_ir_abs_y_max,0.06939930018129259,1.6236578585935254e-16,1.6236578585935254e-16,0.06849914280607271
y_min,paper_ir_abs_y_min,-0.09395012380554248,-2.198046038421342e-16,2.198046038421342e-16,0.09273152510749427
z_max,paper_ir_abs_z_max,-0.5270460422441213,-1.2330707169882362e-15,-1.2330707169882362e-15,0.520209887113347
z_min,paper_ir_abs_z_min,-0.12259487529041872,-2.868215272612193e-16,2.868215272612193e-16,0.12100473416697005
