face,monitor,normalized_signed_axis_flux,signed_axis_power_native_W,outward_power_native_W
x_min,paper_ir_abs_x_min,-0.0006492441843003715,-1.5189640518444308e-18,1.5189640518444308e-18
x_max,paper_ir_abs_x_max,0.00019267080422599928,4.50770345790037e-19,4.50770345790037e-19
y_min,paper_ir_abs_y_min,-0.002228792067250204,-5.214455687173042e-18,5.214455687173042e-18
y_max,paper_ir_abs_y_max,0.005305045287571451,1.2411621513269709e-17,1.2411621513269709e-17
z_min,paper_ir_abs_z_min,-0.1184296127514036,-2.770765280509821e-16,2.770765280509821e-16
z_max,paper_ir_abs_z_max,-0.16406766638914047,-3.8385078117205174e-16,-3.8385078117205174e-16
