case,P_Q_common_grid_W,P_Q_native_Yee_W,P_six_face_W,common_closure,native_closure,P_Q_1p2_to_4ps_relative_change,spatial_Q_1p2_to_4ps_NRMSE,auto_shutoff_1p2ps,auto_shutoff_4ps,realized_center_x_m,realized_center_y_m,realized_waist_x_m,realized_waist_y_m,realized_waist_effective_m,incident_power_W,Qx_W,Qy_W,Qz_W
planar_a,1.3352178211012233e-16,1.3366467316782877e-16,1.3368131277848303e-16,0.0011933655126879937,0.0001244722265843792,2.9350987136332215e-06,7.636349730368994e-07,1.56493e-05,1.56401e-05,6.7231687953635215e-15,-1.966910438268338e-14,6.07023575186332e-06,6.826038792466452e-06,6.437054040602408e-06,7.629949418408906e-16,4.8692631206507335e-19,1.3276353487563558e-16,2.7132092242168795e-19
planar_b,1.9552534308818033e-16,1.957206640760113e-16,1.9572587830802887e-16,0.0010245718225003742,2.6640483428422038e-05,5.135135394419884e-06,1.1597519326109069e-06,1.9541e-05,1.95295e-05,1.1049817470138936e-14,-1.6582439368631053e-14,6.648239779173103e-06,6.101918131543775e-06,6.369224038404281e-06,7.640976353983181e-16,1.9509255959418058e-16,9.101255588973623e-20,3.4177093811002797e-19
finite_edge_b,9.663323072087994e-17,9.663812301951972e-17,9.664803053253684e-17,0.00015313102166019283,0.00010251127687268462,5.9490476255643005e-06,3.362905994856005e-06,2.0095e-05,2.00846e-05,-9.210242334321044e-08,-2.585910305077558e-08,6.56801034261332e-06,6.175367114803393e-06,6.3686635238064554e-06,7.632414606769436e-16,9.400607895882811e-17,2.384070351009318e-18,2.4308141104251634e-19
