evaluation_index,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,rho_mean,gray_fraction_0p01_0p99,gray_fraction_0p05_0p95,binarization_metric,smooth_solid_constraint,smooth_void_constraint,solid_bad_fraction,void_bad_fraction,solid_exact_pass,void_exact_pass,optical_closure,thermal_residual,thermal_energy_balance
0,5,0,stage_baseline,4.0,3.0856209493249904e-20,2.2322448517102935e-07,0.4936252932615211,1.0,1.0,0.9033591761173221,0.02742475486047701,0.02689528449030906,0.00076907043103882,0.0,False,True,1.6357989204242036e-06,8.126589708917409e-11,3.220281125942099e-12
1,6,1,accepted_mma,4.0,3.9087781633765127e-20,2.8277452334459913e-07,0.48776640292350526,1.0,1.0,0.8714288499977344,0.025699033931003933,0.02443561439957799,0.0002946905389961834,7.187574121858132e-06,False,False,2.7603743292247617e-06,8.597908064717053e-11,3.090617429344648e-12
2,7,2,accepted_mma,4.0,4.6137320692090134e-20,3.337733256223679e-07,0.4822086054600292,1.0,1.0,0.8377869985818703,0.024071643228967838,0.022057255215801704,0.0002803153907524671,0.0,False,True,6.881098743362104e-06,9.064181711778848e-11,2.981448445040247e-12
3,7,0,stage_baseline,8.0,7.648913460669461e-20,5.533488388290897e-07,0.4785614008761459,1.0,1.0,0.5887600843355157,0.017521638643226277,0.017073324754568808,0.0002803153907524671,0.0,False,True,1.9586780713031483e-05,7.868617581845519e-11,4.556151314883257e-12
