direction,beta,step,AD_A,FD_A,relative_error,normalized_error,optical_closure,Q_mapping_error,thermal_residual,thermal_energy_balance,auto_shutoff,passed
adjoint_aligned,2.0,0.005,1.329719392101492e-19,1.3297244903722195e-19,3.8340804914408755e-06,3.834095191670452e-06,5.69100310101232e-06,0.0,9.66404376305383e-11,1.6551733873440143e-13,8.90557e-08,True
fixed_seed_random,2.0,0.005,-1.6574845101560561e-21,-1.6569417488636629e-21,0.0003274608535208211,7.258411697875344e-06,5.550060723419913e-06,0.0,9.460492908246709e-11,8.949603686623874e-14,8.93144e-08,True
