metric,original,small_island_removed,relative_change
P_Q_raw_W,2.6435177714103018e-14,2.6430407430797e-14,-0.0001804520990026388
mapped_P_Q_at_285uW_W,5.340466300044533e-05,5.339515905977474e-05,-0.0001779608771337527
Tmax_at_285uW_K,0.19745567990139584,0.19747213976501835,8.335978803305588e-05
max_strict_gradT_K_m,67319.67673571744,67317.61780445487,-3.058439021699374e-05
terminal_current_at_285uW_A,2.260641489685277e-08,2.2605563676943236e-08,-3.76539098931213e-05
terminal_conductance_S,0.005575808634745171,0.005575808634328255,-7.477238345742044e-11
closure,8.915420468994007e-05,8.869864194103441e-05,-0.005109829093198797
