psi_variant,scenario,I_a_A,I_b_A,abs_Ia_over_abs_Ib,paper_ratio,ratio_over_paper
stored_laplace,isolated,8.072622429764236e-09,4.990319469064974e-09,1.6176564405959337,0.8365896980461811,1.933631796296201
stored_laplace,perfect,8.196197440488383e-09,5.001980469742066e-09,1.6385904523355788,0.8365896980461811,1.9586548294372206
laplace_resolved,isolated,8.072622429764236e-09,4.990319469064974e-09,1.6176564405959337,0.8365896980461811,1.933631796296201
laplace_resolved,perfect,8.196197440488383e-09,5.001980469742066e-09,1.6385904523355788,0.8365896980461811,1.9586548294372206
sigma_weighted,isolated,1.1017809241755786e-08,3.075756487821606e-09,3.582146143682237,0.8365896980461811,4.281843479603184
sigma_weighted,perfect,1.1284931776912356e-08,3.098277476363449e-09,3.64232444092059,0.8365896980461811,4.353776348701258
