a_minus_b_total_current_A,negative_contribution_A,polarization,positive_contribution_A,record_type,region,region_current_A,region_current_per_absorbed_W_A_W,scan_distance_um,total_current_A,x_equals_b_term_A,y_equals_a_term_A
,,b,,radial_region,r_over_w0_1_to_1p5,3.276691769362859e-09,,3.0,,,
,,b,,radial_region,r_over_w0_ge_1p5,5.017227775669811e-10,,3.0,,,
,,b,,weighting_potential_region,psi_0.0_to_0.2,1.863441579845263e-09,,3.0,,,
,,b,,weighting_potential_region,psi_0.2_to_0.4,6.2894432553722866e-09,,3.0,,,
,,b,,weighting_potential_region,psi_0.4_to_0.6,4.559489025991583e-09,,3.0,,,
,,b,,weighting_potential_region,psi_0.6_to_0.8,-4.692893003955941e-10,,3.0,,,
,,b,,weighting_potential_region,psi_0.8_to_1.0,-7.802873170503293e-10,,3.0,,,
,-9.627931139833105e-10,a,1.3254098395823202e-08,case_total,,,,5.0,1.2291305281839892e-08,5.608213320120845e-09,6.683091961719046e-09
,,a,,device_region,top_contact_within_2um,-3.507984820757077e-11,-3.823308991776376e-06,5.0,,,
,,a,,device_region,bottom_contact_within_2um,5.0120851396088946e-11,5.4626092075506265e-06,5.0,,,
,,a,,device_region,free_edge_within_1um,3.815484231401189e-09,0.00041584487719501813,5.0,,,
,,a,,device_region,flake_interior,8.460780047250184e-09,0.0009221298861011762,5.0,,,
,,a,,radial_region,r_over_w0_0_to_0p5,6.590415215274807e-11,,5.0,,,
,,a,,radial_region,r_over_w0_0p5_to_1,8.69342431693939e-09,,5.0,,,
,,a,,radial_region,r_over_w0_1_to_1p5,3.018763012202666e-09,,5.0,,,
,,a,,radial_region,r_over_w0_ge_1p5,5.132138005450869e-10,,5.0,,,
,,a,,weighting_potential_region,psi_0.0_to_0.2,5.399918009973604e-10,,5.0,,,
,,a,,weighting_potential_region,psi_0.2_to_0.4,6.312215005452609e-09,,5.0,,,
,,a,,weighting_potential_region,psi_0.4_to_0.6,5.24059895170313e-09,,5.0,,,
,,a,,weighting_potential_region,psi_0.6_to_0.8,6.422386930439623e-10,,5.0,,,
,,a,,weighting_potential_region,psi_0.8_to_1.0,-4.4373916935717146e-10,,5.0,,,
,-1.5776774501173702e-09,b,1.1960185445292324e-08,case_total,,,,5.0,1.0382507995174954e-08,4.872238095508395e-09,5.510269899666559e-09
,,b,,device_region,top_contact_within_2um,-5.92197661455517e-10,-5.9001611585451844e-05,5.0,,,
,,b,,device_region,bottom_contact_within_2um,6.913928505981532e-11,6.888458884435287e-06,5.0,,,
,,b,,device_region,free_edge_within_1um,1.2542975738996613e-09,0.0001249676975858192,5.0,,,
,,b,,device_region,flake_interior,9.651268797670995e-09,0.0009615715325646358,5.0,,,
,,b,,radial_region,r_over_w0_0_to_0p5,2.884732519297272e-11,,5.0,,,
,,b,,radial_region,r_over_w0_0p5_to_1,6.226781953775963e-09,,5.0,,,
,,b,,radial_region,r_over_w0_1_to_1p5,3.4465313156956166e-09,,5.0,,,
,,b,,radial_region,r_over_w0_ge_1p5,6.803474005104025e-10,,5.0,,,
,,b,,weighting_potential_region,psi_0.0_to_0.2,8.105199306412514e-10,,5.0,,,
,,b,,weighting_potential_region,psi_0.2_to_0.4,4.739343099245105e-09,,5.0,,,
,,b,,weighting_potential_region,psi_0.4_to_0.6,5.757949351189961e-09,,5.0,,,
,,b,,weighting_potential_region,psi_0.6_to_0.8,3.7339771183963295e-11,,5.0,,,
,,b,,weighting_potential_region,psi_0.8_to_1.0,-9.626441570853266e-10,,5.0,,,
2.566640831967459e-09,,a-minus-b,,same_position_a_minus_b_region,top_contact_within_2um,1.1299763821281882e-10,,1.0,,,
2.566640831967459e-09,,a-minus-b,,same_position_a_minus_b_region,bottom_contact_within_2um,-2.346307107324309e-10,,1.0,,,
2.566640831967459e-09,,a-minus-b,,same_position_a_minus_b_region,free_edge_within_1um,4.216370528943049e-09,,1.0,,,
2.566640831967459e-09,,a-minus-b,,same_position_a_minus_b_region,flake_interior,-1.5280966244559752e-09,,1.0,,,
2.236814486162983e-09,,a-minus-b,,same_position_a_minus_b_region,top_contact_within_2um,2.637392115482421e-10,,3.0,,,
2.236814486162983e-09,,a-minus-b,,same_position_a_minus_b_region,bottom_contact_within_2um,-7.826051053613326e-11,,3.0,,,
2.236814486162983e-09,,a-minus-b,,same_position_a_minus_b_region,free_edge_within_1um,3.519861773685187e-09,,3.0,,,
2.236814486162983e-09,,a-minus-b,,same_position_a_minus_b_region,flake_interior,-1.4685259885343164e-09,,3.0,,,
1.9087972866649376e-09,,a-minus-b,,same_position_a_minus_b_region,top_contact_within_2um,5.571178132479463e-10,,5.0,,,
1.9087972866649376e-09,,a-minus-b,,same_position_a_minus_b_region,bottom_contact_within_2um,-1.9018433663726372e-11,,5.0,,,
1.9087972866649376e-09,,a-minus-b,,same_position_a_minus_b_region,free_edge_within_1um,2.5611866575015278e-09,,5.0,,,
1.9087972866649376e-09,,a-minus-b,,same_position_a_minus_b_region,flake_interior,-1.1904887504208105e-09,,5.0,,,
