polarization,method,current_A,current_nA,abs_Ia_over_abs_Ib
a,legacy,5.10117932583185e-09,5.1011793258318505,1.3717882341299703
a,strict_centered,5.175638909186727e-09,5.175638909186727,1.3536053958382057
a,internal_face,5.099003156222557e-09,5.099003156222557,1.3649155787327598
b,legacy,3.718634698064146e-09,3.7186346980641463,1.3717882341299703
b,strict_centered,3.823595063302601e-09,3.823595063302601,1.3536053958382057
b,internal_face,3.73576449391593e-09,3.73576449391593,1.3649155787327598
