scenario,position,polarization,beam_x_b_um,beam_y_a_um,Jloc_full_max_A_m2,Jloc_full_p99_A_m2,Jloc_full_rms_A_m2,Jloc_full_mean_A_m2,Jloc_edge_max_A_m2,Jloc_edge_p99_A_m2,Jloc_edge_rms_A_m2,Jloc_edge_mean_A_m2,abs_Jloc_b_full_max_A_m2,abs_Jloc_a_full_max_A_m2,strict_valid_cell_count,illuminated_edge_cell_count,saved_gradient_reproduction_max_abs_K_m,weighting_potential_used,terminal_current_integration_performed
thermally_grown,inside_top,a,-6.0,3.0,383631.8664556715,101770.53381785919,33747.59092298407,18355.121871491454,383631.8664556715,326939.1067040869,125944.4477906891,96475.54116222508,356614.24308146787,240132.21590725236,64845,2034,0.0,False,False
evaporated,inside_top,a,-6.0,3.0,2390403.665623728,1090217.1590018414,492035.1396284532,360262.2296422412,2390403.665623728,1584051.3452032334,769876.0333274042,692599.6485410954,2041498.9847420987,1405305.0233994587,64845,2034,0.0,False,False
thermally_grown,inside_top,b,-6.0,3.0,260118.05738377172,144342.67742625944,43941.16792031085,25979.575206290123,260118.05738377172,254640.4462360059,128434.58448352464,116245.2309400677,257072.11741347835,148887.8876281021,64845,2034,0.0,False,False
evaporated,inside_top,b,-6.0,3.0,2054655.252200714,1575854.082376142,687253.314160023,499663.194913691,2054655.252200714,1705223.681264738,1029496.4481504301,924209.5458797484,1905282.792319564,1145773.7653734805,64845,2034,0.0,False,False
thermally_grown,inside_middle,a,-6.0,0.0,257404.2761352034,85502.968847441,32544.67816607606,21133.60440496159,257404.2761352034,220923.73643507808,87477.70134298451,71308.78695931283,257178.9166575483,128685.94331660244,64845,1777,0.0,False,False
evaporated,inside_middle,a,-6.0,0.0,1504405.7773760909,999859.6720073863,476921.691998051,371344.88816083304,1504405.7773760909,962625.3230139678,488437.69901273947,440260.5326560466,1200597.0674159962,986768.4797376483,64845,1777,0.0,False,False
thermally_grown,inside_middle,b,-6.0,0.0,228129.7840077858,101472.87063213899,43751.19462754053,29569.168385984656,228129.7840077858,175731.3978438809,92003.95526852319,84830.11604941555,161553.17653634003,169366.29663930024,64845,1777,0.0,False,False
evaporated,inside_middle,b,-6.0,0.0,1612884.013951219,1433666.9318575342,682976.6305117033,529706.5005608567,1612884.013951219,1196127.7856005984,740639.2752388092,674089.2498584649,1481761.5194513062,1074344.3277605164,64845,1777,0.0,False,False
thermally_grown,inside_bottom,a,-6.0,-3.0,125073.79351750814,68107.03446671582,31914.510567722937,22355.05442567828,125073.79351750814,117059.27981051672,57754.262516173374,52635.39618826617,120568.9085058714,81687.31424837607,64845,1217,0.0,False,False
evaporated,inside_bottom,a,-6.0,-3.0,1138537.5421351327,970462.4026908731,468208.19140915107,375015.8372957157,1138537.5421351327,706343.9294771444,398043.8975577369,354122.40573082236,1000231.745560901,683440.2040421613,64845,1217,0.0,False,False
thermally_grown,inside_bottom,b,-6.0,-3.0,164132.74157402286,92888.25669861073,44366.47207031334,31617.53776090606,164132.74157402286,107068.20558323026,71304.89753258838,67395.00233012228,113042.29471280288,118999.98513726292,64845,1217,0.0,False,False
evaporated,inside_bottom,b,-6.0,-3.0,1678588.929677211,1384522.9101774623,677396.2084433269,541632.3313377126,1678588.929677211,946584.4672215316,670545.0547885343,643647.5874402323,1427499.237926358,1060453.569894744,64845,1217,0.0,False,False
