run,contact_axis,interface_scenario,polarization,id,kind,target_waist_um,beam_x_um,beam_y_um,terminal_current_nA,Tmax_flake_K,Au_absorbed_W,TaIrTe4_absorbed_W,SiO2_absorbed_W,Si_absorbed_W,optical_closure,Maxwell_wall_s,passed
44,y,thermally_grown,Ea,position_x-10_y-10,position,8.5,-10.0,-10.0,0.9663394681279059,0.3780550547701028,3.5046991437261085e-07,1.5649697344008715e-05,1.1117313163942836e-05,6.393087727660674e-07,0.008702368679526104,131.4375540316105,True
44,y,thermally_grown,Ea,waist_4.25,waist,4.25,0.0,0.0,176.0090351766761,1.0391131253243877,6.972057617580833e-09,5.022422095914506e-05,1.1746899231230818e-05,6.709983796001899e-07,0.0011949679266944995,155.11289681866765,True
44,y,thermally_grown,Ea,waist_6.375,waist,6.375,0.0,0.0,132.55926185902888,0.6383322954623236,4.348986673482693e-09,4.964122167528394e-05,9.98848214253387e-06,5.602203746398629e-07,0.0008805115862981644,133.35183804109693,True
44,y,thermally_grown,Ea,waist_8.5,waist,8.5,0.0,0.0,92.02437418749186,0.39902208370395253,3.3487047443143715e-08,4.830650072346272e-05,9.233863714857178e-06,5.126084371255386e-07,0.0006597681874072696,136.5487906448543,True
44,y,thermally_grown,Ea,waist_10.625,waist,10.625,0.0,0.0,64.39249784938822,0.2723856484582672,8.974835068448607e-08,4.541178805689138e-05,9.113595888367015e-06,5.063531301507555e-07,0.00031595676405507875,138.56362096965313,True
44,y,thermally_grown,Ea,waist_12.75,waist,12.75,0.0,0.0,46.74494630881739,0.2006335866533129,1.462891996991644e-07,4.168997398611342e-05,9.241906575651397e-06,5.176242736396212e-07,0.00014953048726718384,139.9393957145512,True
44,y,thermally_grown,Ea,position_x-10_y-5,position,8.5,-10.0,-5.0,-2.350993310292395,0.3449961641593351,1.3260972628456536e-07,2.8215280153096976e-05,9.588006672341362e-06,5.878678581145208e-07,0.0008646387162247619,131.98607468232512,True
44,y,thermally_grown,Ea,position_x-10_y0,position,8.5,-10.0,0.0,-8.214797369447563,0.27197012672641924,2.5822380853188127e-08,3.371930539426909e-05,6.377415577577027e-06,4.185564711032473e-07,0.00025353531103147514,209.4742595180869,True
44,y,thermally_grown,Ea,position_x-10_y5,position,8.5,-10.0,5.0,-5.208393817604913,0.24678821398467107,1.2177332134623474e-07,3.1118085425866606e-05,6.219397809864397e-06,4.0366626940320984e-07,7.915011227783457e-05,155.9641712345183,True
44,y,thermally_grown,Ea,position_x-10_y10,position,8.5,-10.0,10.0,0.8937719667960664,0.23462224533170276,3.2952805382536536e-07,1.871281239071513e-05,7.863804887972577e-06,4.809225729070692e-07,0.0011907341196524133,131.843880020082,True
44,y,thermally_grown,Ea,position_x-5_y-10,position,8.5,-5.0,-10.0,7.700211519299694,0.3061454884036438,4.4318378366184353e-07,2.4892403216617123e-05,1.0116052854336142e-05,5.487000634289982e-07,0.007795893432136667,161.94721249118447,True
44,y,thermally_grown,Ea,position_x-5_y-5,position,8.5,-5.0,-5.0,34.48384396709359,0.3643663284118808,1.6559695246370542e-07,4.246593167542287e-05,8.498903116121721e-06,4.7248123675442767e-07,0.0006712128645828724,211.21389959007502,True
44,y,thermally_grown,Ea,position_x-5_y0,position,8.5,-5.0,0.0,46.4648365366979,0.33909410231876913,3.3144746048378745e-08,4.6657439753622796e-05,7.67933835960144e-06,4.370869605282766e-07,0.00047368542970955104,135.5066803880036,True
44,y,thermally_grown,Ea,position_x-5_y5,position,8.5,-5.0,5.0,27.650569183774586,0.4723933918358569,1.633768084952594e-07,3.9650936248934345e-05,9.962001385914311e-06,5.57194690829554e-07,0.00032568352590291253,162.6252876892686,True
44,y,thermally_grown,Ea,position_x-5_y10,position,8.5,-5.0,10.0,10.075168215895271,0.44671729468383264,4.363290843150032e-07,2.2051670039971345e-05,1.1819003741148626e-05,6.570669808831787e-07,0.0002543743738195443,132.5925819054246,True
44,y,thermally_grown,Ea,position_x0_y-10,position,8.5,0.0,-10.0,10.28105394288419,0.1825402549779188,4.506970348969414e-07,2.78238957306504e-05,8.25612093641287e-06,4.4273182784081875e-07,0.007490692528954717,132.12096766382456,True
44,y,thermally_grown,Ea,position_x0_y-5,position,8.5,0.0,-5.0,62.28059556698731,0.2673576281356555,1.666910950945117e-07,4.5901715948729955e-05,7.3345226863744506e-06,3.997340969686479e-07,0.0006859181034707548,163.64559299498796,True
44,y,thermally_grown,Ea,position_x0_y5,position,8.5,0.0,5.0,52.64916021862779,0.5233913280815392,1.7022907920853046e-07,3.9057339448926035e-05,1.31675494141678e-05,7.182211940611614e-07,0.0005051274028307773,207.20247345417738,True
44,y,thermally_grown,Ea,position_x0_y10,position,8.5,0.0,10.0,14.762102195956905,0.43098135701082435,4.5215705556189884e-07,2.0358744600969855e-05,1.4332770908572546e-05,7.843039238228038e-07,0.00017020057479799042,157.44256012141705,True
44,y,thermally_grown,Ea,position_x5_y-10,position,8.5,5.0,-10.0,7.778267944676663,0.2967988427220876,4.432839505558666e-07,2.5027380806701828e-05,1.0096904753661984e-05,5.473564451255981e-07,0.007680533413961542,210.62829925864935,True
44,y,thermally_grown,Ea,position_x5_y-5,position,8.5,5.0,-5.0,34.63644078776642,0.3533318026593956,1.65647115228603e-07,4.2467040137530105e-05,8.49639691001319e-06,4.732518951332141e-07,0.000647421759894395,136.25466553866863,True
44,y,thermally_grown,Ea,position_x5_y0,position,8.5,5.0,0.0,46.33818144049042,0.3424142602657298,3.318986492464139e-08,4.657192940638231e-05,7.694035722101971e-06,4.39191319189692e-07,0.00047471524628580724,137.93573271110654,True
44,y,thermally_grown,Ea,position_x5_y5,position,8.5,5.0,5.0,27.43209431255542,0.4783395887930838,1.6348058521141353e-07,3.961574516957302e-05,9.953016561582109e-06,5.579705625511034e-07,0.000325266427308174,133.28333596512675,True
44,y,thermally_grown,Ea,position_x5_y10,position,8.5,5.0,10.0,10.02961501040828,0.45718347778943086,4.3644193437241454e-07,2.2068858079507757e-05,1.1797972872233132e-05,6.566244483219795e-07,0.0002622939238761278,161.9761196412146,True
44,y,thermally_grown,Ea,position_x10_y-10,position,8.5,10.0,-10.0,0.91897063108722,0.3766658616110741,3.505019489921378e-07,1.5763910501554236e-05,1.1096950957612108e-05,6.38296504493407e-07,0.008564875471972226,204.69468523189425,True
44,y,thermally_grown,Ea,position_x10_y-5,position,8.5,10.0,-5.0,-2.456433065973569,0.33593703464829827,1.3264148764230815e-07,2.816794843526268e-05,9.578319893068984e-06,5.893400142567858e-07,0.0008449768163164261,132.62361193448305,True
44,y,thermally_grown,Ea,position_x10_y0,position,8.5,10.0,0.0,-8.341752170350619,0.27374381313851043,2.585659499406896e-08,3.362472549024558e-05,6.386559887271232e-06,4.207888939013962e-07,0.0003319087037925203,132.29323789849877,True
