thermal_core_step_nm,thermal_cells,P_Q_source_W,P_Q_target_W,mapping_relative_power_error,zero_overlap_unattributed_W,outside_TaIrTe4_after_mapping_W,status
500,659490,4.1119514094500786e-05,4.1119514094500786e-05,0.0,1.0235019505979418e-06,0.0,VALIDATED_MATERIAL_OVERLAP_REMAP_EXECUTION
100,9293074,4.199561714195624e-05,4.199561714195624e-05,0.0,1.473989031424926e-07,0.0,VALIDATED_MATERIAL_OVERLAP_REMAP_EXECUTION
