Q_attribution,current_quadrature,abs_Ia_over_abs_Ib,I_a_A,I_b_A
covered-cell-full-power,legacy,1.4104099176683262,5.554954641958292e-09,3.93853912424388e-09
covered-cell-full-power,strict_centered,1.3890833727467378,5.598360341151528e-09,4.03025509554655e-09
covered-cell-full-power,internal_face,1.4027010467820085,5.5407738119124435e-09,3.950074625397728e-09
intersection-density,legacy,1.3717882341299703,5.10117932583185e-09,3.718634698064146e-09
intersection-density,strict_centered,1.3536053958382057,5.175638909186727e-09,3.823595063302601e-09
intersection-density,internal_face,1.3649155787327598,5.099003156222557e-09,3.73576449391593e-09
