polarization,method,current_A,current_nA,abs_Ia_over_abs_Ib
a,legacy,5.554954641958292e-09,5.554954641958292,1.4104099176683262
a,strict_centered,5.598360341151528e-09,5.598360341151528,1.3890833727467378
a,internal_face,5.5407738119124435e-09,5.540773811912444,1.4027010467820085
b,legacy,3.93853912424388e-09,3.9385391242438796,1.4104099176683262
b,strict_centered,4.03025509554655e-09,4.030255095546551,1.3890833727467378
b,internal_face,3.950074625397728e-09,3.950074625397728,1.4027010467820085
