polarization,status,P_Q_W,Tmax_K,current_nA,runtime_s
Ea,VALIDATED_4UM_MULTIPHYSICS_FORWARD,2.479599100275752e-05,0.19232617907736918,0.31329047728220333,3.982531476765871
Eb,VALIDATED_4UM_MULTIPHYSICS_FORWARD,5.968514550468634e-05,0.4678887778356572,-0.18766851250321337,1.7388988621532917
