control,component,P_planar_W,P_masked_W,P_edge_W,D_total_W,D_support_W,D_EM_W_signed,D_support_over_P_planar,D_EM_over_P_planar_signed,D_support_over_D_total,D_EM_over_D_total_signed,decomposition_closure_W
common_analytic_cut_cell,total,1.9552534308818036e-16,9.785874965253662e-17,9.663323072087993e-17,9.889211236730042e-17,9.766659343564374e-17,1.2255189316566858e-18,0.499508615574181,0.006267826524687322,0.9876075158845337,0.01239248411546637,0.0
common_analytic_cut_cell,x,1.9509255959418058e-16,9.764253636830604e-17,9.400607895882809e-17,1.0108648063535249e-16,9.745002322587453e-17,3.6364574094779575e-18,0.4995066107522707,0.018639651953115434,0.9640262734776999,0.03597372652230012,0.0
common_analytic_cut_cell,y,9.101255588973625e-20,4.5327814561916655e-20,2.384070351009318e-18,-2.293057795119582e-18,4.568474132781959e-20,-2.3387425364474012e-18,0.5019608655224196,-25.696921854176257,-0.01992306579670712,1.0199230657967069,-3.851859888774472e-34
common_analytic_cut_cell,z,3.417709381100279e-19,1.7088546966867512e-19,2.430814110425163e-19,9.868952706751159e-20,1.7088546844135276e-19,-7.219594137384118e-20,0.4999999982044665,-0.21124072682446396,1.7315461277309936,-0.7315461277309936,0.0
native_analytic_cut_cell_conservative_remap,total,1.9572066407601125e-16,9.786033202969393e-17,9.663812301951969e-17,9.908254105649156e-17,9.786033204631732e-17,1.2222090101742347e-18,0.5000000000424671,0.006244660041106188,0.9876647389424803,0.012335261057519675,0.0
native_loss_participation_conservative_remap,total,1.9572066407601125e-16,9.78344093190441e-17,9.663812301951969e-17,9.908254105649156e-17,9.788625475696715e-17,1.196286299524407e-18,0.500132447532221,0.006112212551352319,0.9879263663732408,0.012073633626759214,0.0
