control,comparison,first_power_W,second_power_W,equal_power_NRMSE,Pearson_correlation,cosine_similarity
analytic_cut_cell,full_planar_vs_analytic_masked,1.9552534308818036e-16,9.785874965253662e-17,0.9966476170756353,0.5758583415230301,0.7081162179103189
analytic_cut_cell,analytic_masked_vs_finite_edge,9.785874965253662e-17,9.663323072087993e-17,0.12183079825178056,0.9900323752061061,0.9925683442651705
analytic_cut_cell,full_planar_vs_finite_edge,1.9552534308818036e-16,9.663323072087993e-17,1.0018559191203453,0.5673694199188862,0.7033371587675636
loss_participation_proxy,full_planar_vs_loss_proxy_masked,1.9572066407601125e-16,9.78344093190441e-17,0.9976870403471353,0.5754198748916746,0.7078656920256873
loss_participation_proxy,loss_proxy_masked_vs_finite_edge,9.78344093190441e-17,9.663812301951969e-17,0.12190832917931345,0.9900196051706981,0.9925590797742918
loss_participation_proxy,full_planar_vs_finite_edge_native_remap,1.9572066407601125e-16,9.663812301951969e-17,1.0028112393907767,0.5670690976822561,0.7031670200776409
