beta,accepted_updates,baseline_fom_A_per_W,first_accepted_fom_A_per_W,final_fom_A_per_W,stage_fom_gain_percent,accepted_span_fom_gain_percent,solid_constraint,void_constraint,constraint_cap,solid_constraint_over_cap,void_constraint_over_cap,exact_solid_bad_cells,exact_void_bad_cells,latent_at_zero_fraction,latent_at_one_fraction,latent_box_saturated_fraction,latent_interior_fraction,latent_objective_gradient_l2_A,final_checkpoint
2,44,9.775174754356877e-08,1.359794537848302e-07,8.76098627505635e-07,796.2485577203115,544.2875030899501,0.013416152672106678,0.010084233194802552,0.04,0.33540381680266695,0.2521058298700638,47,139,0.5209409972040336,0.3619159197579225,0.8828569169619561,0.11714308303804388,3.137158387382395e-20,/home/seunghyun/tairte4/worktrees/pte_optimization_runs/photothermal_pte/optimization_runs/run_003_gaussian10_w8p5_current_max_converged/checkpoints/run003_b002_s044_g044_accepted_mma.npz
4,12,8.772714730985167e-07,8.77863010926195e-07,8.799517351576431e-07,0.3055225367878167,0.2379328215736498,0.010568003268461171,0.009434536293251581,0.03,0.3522667756153724,0.3144845431083861,219,138,0.5216525670420976,0.35812088062158143,0.879773447663679,0.12022655233632096,8.666123382528869e-21,/home/seunghyun/tairte4/worktrees/pte_optimization_runs/photothermal_pte/optimization_runs/run_003_gaussian10_w8p5_current_max_converged/checkpoints/run003_b004_s012_g056_accepted_mma.npz
8,16,8.806943094397506e-07,8.815464667036018e-07,8.844470870112356e-07,0.4261157965097073,0.32903771011414396,0.012338110885179514,0.012325819975056777,0.02,0.6169055442589757,0.6162909987528388,323,407,0.5077661738386677,0.34853265674302264,0.8562988305816903,0.14370116941830963,3.3382949268775693e-22,/home/seunghyun/tairte4/worktrees/pte_optimization_runs/photothermal_pte/optimization_runs/run_003_gaussian10_w8p5_current_max_converged/checkpoints/run003_b008_s016_g072_accepted_mma.npz
16,11,8.848447860958216e-07,8.845324246749261e-07,8.858801860481031e-07,0.11701486730231192,0.15236992286318252,0.008002189231712475,0.008007731195839888,0.008,1.0002736539640593,1.000966399479986,360,501,0.4885609757850628,0.33788785946855077,0.8264488352536136,0.17355116474638638,5.39457118498024e-23,/home/seunghyun/tairte4/worktrees/pte_optimization_runs/photothermal_pte/optimization_runs/run_003_gaussian10_w8p5_current_max_converged/checkpoints/run003_b016_s011_g083_accepted_mma.npz
32,12,8.851886796770285e-07,8.845120584859827e-07,8.852107939054731e-07,0.0024982502547121754,0.07899670929150115,0.0009230432792125111,0.0020146636748810736,0.002,0.46152163960625553,1.007331837440537,95,260,0.46166507342106966,0.3138669867533009,0.7755320601743705,0.22446793982562946,9.755920265528942e-23,/home/seunghyun/tairte4/worktrees/pte_optimization_runs/photothermal_pte/optimization_runs/run_003_gaussian10_w8p5_current_max_converged/checkpoints/run003_b032_s012_g095_accepted_mma.npz
