evaluation_index,tag,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance,constraint_contract
70,run003_b008_s012_g068_accepted_mma,68,12,accepted_mma,8.0,1.2223271750771777e-19,8.842737291722464e-07,9.862017638907894e-05,0.417931451521751,0.002552979648117695,0.020010306027491265,0.1117739651690158,0.05532343852154695,0.012410904863057862,0.012396506922753606,0.02,True,343,419,0.0002026439472392529,7.9598329288006e-11,6.31539079668479e-12,legacy_zhou_p8_v1
71,run003_b008_s013_g069_accepted_mma,69,13,accepted_mma,8.0,1.2223876743248981e-19,8.843174964192525e-07,4.94951343257162e-05,0.4179306983498514,0.0013821599723720112,0.010006377839585412,0.11180271546550324,0.0553122170574882,0.012455051817902773,0.012442063979767675,0.02,True,349,422,0.00020263067246310988,7.967663251618289e-11,6.3234339924112735e-12,legacy_zhou_p8_v1
72,run003_b008_s014_g070_accepted_mma,70,14,accepted_mma,8.0,1.2224479336344474e-19,8.843610900866919e-07,4.929639820073454e-05,0.4179363995960898,0.0010622724001425464,0.010005961483649406,0.11193927937381855,0.05534563803258018,0.012366322795585282,0.01235323334546969,0.02,True,345,423,0.0002025374200012917,7.973873123100383e-11,6.326657176657633e-12,legacy_zhou_p8_v1
73,run003_b008_s015_g071_accepted_mma,71,15,accepted_mma,8.0,1.2225074483076444e-19,8.844041450584551e-07,4.86848327519625e-05,0.4179483700832272,0.0010763051255463596,0.010006377884460349,0.11211178115274313,0.05535380998956323,0.012386611814099738,0.012374276186681995,0.02,True,336,413,0.00020250306186293167,7.978065693867981e-11,6.337205149886607e-12,legacy_zhou_p8_v1
74,run003_b008_s016_g072_accepted_mma,72,16,accepted_mma,8.0,1.222566806755264e-19,8.844470870112356e-07,4.8554671549667684e-05,0.41796039293397824,0.0010644541345138582,0.010006377619431683,0.11217646931983986,0.0553927697521528,0.012338110885179514,0.012325819975056777,0.02,True,323,407,0.00020240516158986354,7.989129758293028e-11,6.343693048482683e-12,legacy_zhou_p8_v1
75,run003_b016_s000_g072_stage_baseline,72,0,stage_baseline,16.0,1.2231165442206614e-19,8.848447860958216e-07,0.0,0.41703933052387615,0.0,0.0,0.06328659014296086,0.03144886540339162,0.011626488811109534,0.013139201362377092,0.008,False,323,407,0.0002153743314365002,7.147608995311076e-11,6.3480359371466365e-12,legacy_zhou_p8_v1
76,run003_b016_s001_g073_accepted_mma,73,1,accepted_mma,16.0,1.222684768583084e-19,8.845324246749261e-07,-0.00035301267047493787,0.41714410943573976,0.007976683969228028,0.14126214119098063,0.06228032976590071,0.03024494043655664,0.01018628942595543,0.009193789926982898,0.008,False,314,479,0.0002168072084659362,7.15661904140389e-11,6.533385295830969e-12,legacy_zhou_p8_v1
77,run003_b016_s002_g074_accepted_mma,74,2,accepted_mma,16.0,1.2239294806520183e-19,8.854328924100663e-07,0.0010180155187315043,0.4196540347874112,0.017713584764363344,0.15864832375703702,0.06389753394331879,0.03178704423215766,0.009418555032987441,0.009283696597530155,0.008,False,354,451,0.00021370776749749773,7.155972587488891e-11,5.988516710314223e-12,legacy_zhou_p8_v1
78,run003_b016_s003_g075_accepted_mma,75,3,accepted_mma,16.0,1.223799237940946e-19,8.853386703309326e-07,-0.00010641357458190152,0.4194748517102267,0.00397521672829578,0.07300954458474451,0.06366753157141933,0.031234221477447404,0.00841310753601165,0.007998871005815951,0.008,False,348,462,0.00021407215766476877,7.158955941789267e-11,6.034290403438673e-12,legacy_zhou_p8_v1
79,run003_b016_s004_g076_accepted_mma,76,4,accepted_mma,16.0,1.2240392966286674e-19,8.855123370834518e-07,0.00019615855303630573,0.41970476697958525,0.0036022866396103006,0.03997861725770108,0.0641347238893401,0.03163685783356307,0.008178958172263436,0.00815515556971168,0.008,False,353,468,0.0002135179686744934,7.156369445248498e-11,5.959013214405486e-12,legacy_zhou_p8_v1
80,run003_b016_s005_g077_accepted_mma,77,5,accepted_mma,16.0,1.2241444070206345e-19,8.85588377574226e-07,8.587174632105127e-05,0.41978474101545094,0.0017249130371158896,0.019996766541477973,0.064343163538874,0.03179589395218366,0.008062628847243285,0.008018409761276027,0.008,False,365,476,0.00021328598468152866,7.154974619494102e-11,5.941899579430781e-12,legacy_zhou_p8_v1
81,run003_b016_s006_g078_accepted_mma,78,6,accepted_mma,16.0,1.224254233203684e-19,8.856678296312743e-07,8.971668899488649e-05,0.41988753639120674,0.0017532373065173512,0.019996196657416254,0.06442222685421443,0.0319774163104663,0.008046350446543442,0.008033148928694441,0.008,False,367,474,0.00021304348646837388,7.154210698522335e-11,5.928111093117101e-12,legacy_zhou_p8_v1
82,run003_b016_s007_g079_accepted_mma,79,7,accepted_mma,16.0,1.2243564401140882e-19,8.857417696431247e-07,8.348503736578374e-05,0.41996747410826246,0.0017385935800368123,0.019994000861860872,0.06465941680023575,0.03214104359854318,0.008051505805706516,0.008023651813320478,0.008,False,373,480,0.00021278999589000895,7.153298053631001e-11,5.924893242452735e-12,legacy_zhou_p8_v1
83,run003_b016_s008_g080_accepted_mma,80,8,accepted_mma,16.0,1.2244047035932974e-19,8.857766851122507e-07,3.941946775300654e-05,0.4199802390105027,0.0008514859792597592,0.00999870942023623,0.06473848011557619,0.03221298631976567,0.008016852480438284,0.008007115340410985,0.008,True,370,485,0.0002127273464028796,7.15286415795264e-11,5.9260798572624136e-12,legacy_zhou_p8_v1
84,run003_b016_s009_g081_accepted_mma,81,9,accepted_mma,16.0,1.2244530365675938e-19,8.858116508565248e-07,3.9474672185176723e-05,0.41999882588921794,0.0008308802818981377,0.009999071381179225,0.0648391061532822,0.032289049599618494,0.008002393392001666,0.008003538531252151,0.008,True,374,486,0.0002126266522783251,7.1526393753304e-11,5.925326124036926e-12,legacy_zhou_p8_v1
85,run003_b016_s010_g082_accepted_mma,82,10,accepted_mma,16.0,1.2245009451222575e-19,8.858463095609662e-07,3.912649422474807e-05,0.4200175802112439,0.0008274241663057475,0.009999014108982018,0.06489660674625707,0.0323644404084743,0.008002090877360833,0.008005008172202848,0.008,True,375,498,0.00021255444178810043,7.152216406212001e-11,5.922734959617595e-12,legacy_zhou_p8_v1
86,run003_b016_s011_g083_accepted_mma,83,11,accepted_mma,16.0,1.224547772421834e-19,8.858801860481031e-07,3.824194645418274e-05,0.420038559482591,0.0008225885288650677,0.009999664416069476,0.06496848248747565,0.03243837184850785,0.008002189231712475,0.008007731195839888,0.008,True,360,501,0.0002124546587855197,7.152037394413329e-11,5.919666303241354e-12,legacy_zhou_p8_v1
87,run003_b032_s000_g083_stage_baseline,83,0,stage_baseline,32.0,1.2235919066065115e-19,8.851886796770285e-07,0.0,0.4196226093114391,0.0,0.0,0.03782820260333935,0.018263178928527333,0.009010366969282655,0.008838616943720321,0.002,False,360,501,0.00021957817942690113,8.333093613168282e-11,7.654753152230352e-12,legacy_zhou_p8_v1
88,run003_b032_s001_g084_accepted_mma,84,1,accepted_mma,32.0,1.222656616501464e-19,8.845120584859827e-07,-0.0007643807547252728,0.4194170782012433,0.01111536899383938,0.29407912492441196,0.03597380847989995,0.016880628051766662,0.008215846955440014,0.008101509639487223,0.002,False,344,514,0.00022209264565103162,8.487285315655644e-11,7.89586156283793e-12,legacy_zhou_p8_v1
89,run003_b032_s002_g085_accepted_mma,85,2,accepted_mma,32.0,1.2225713198021868e-19,8.844503519053766e-07,-6.976341364036579e-05,0.41940761581189206,0.005166905199893175,0.1425109363925134,0.035449115569004305,0.016524079769438496,0.00854228730531153,0.006984985705123482,0.002,False,385,521,0.00022208275894292957,8.448900457680623e-11,7.76565137315728e-12,legacy_zhou_p8_v1
90,run003_b032_s003_g086_accepted_mma,86,3,accepted_mma,32.0,1.223921754262897e-19,8.854273028731071e-07,0.0011045854248639647,0.422290128837351,0.02705762226615628,0.30950679144886695,0.03745444874900272,0.017564163781268512,0.0011407318731729626,0.0035330503003724915,0.002,False,139,478,0.00021897743663325727,8.356982380408569e-11,7.41547704357797e-12,soft_disk_opening_500nm_v2
91,run003_b032_s004_g087_accepted_mma,87,4,accepted_mma,32.0,1.223593645247279e-19,8.851899374698572e-07,-0.00026808005861096463,0.4238238876816373,0.020835115226687573,0.3090856163758748,0.0369441309863508,0.017175797747244925,0.0009563229175501262,0.0030496431006127034,0.002,False,105,425,0.00021846035214963648,8.35459244103961e-11,7.369406041478792e-12,soft_disk_opening_500nm_v2
92,run003_b032_s005_g088_accepted_mma,88,5,accepted_mma,32.0,1.2235304485526417e-19,8.85144218796512e-07,-5.164843318920753e-05,0.4241433786397398,0.006167079880541383,0.07982613904033714,0.036915380689863365,0.017210873302648467,0.0008494421994015721,0.0029500889106628733,0.002,False,89,403,0.00021821420739334959,8.371016009960845e-11,7.391701383367887e-12,soft_disk_opening_500nm_v3_exact_nonincrease
93,run003_b032_s006_g089_accepted_mma,89,6,accepted_mma,32.0,1.2234975485925505e-19,8.851204178281684e-07,-2.688936767380976e-05,0.4243706803908829,0.00606021233577795,0.0797149566971318,0.03683631737452293,0.017213480319270762,0.0009649008617007265,0.0023819978245362633,0.002,False,109,315,0.00021813743428097864,8.34106971590604e-11,7.420901634637743e-12,soft_disk_opening_500nm_v3_exact_nonincrease
