case_id,case,polarization_deg,domain_um,pml_layers,flake_dz_nm,source_span_um,waist_um,status,generation_commit,P_Qx_W,P_Qy_W,P_Qz_W,P_Qx_fraction,P_Qy_fraction,P_Qz_fraction,P_Q_W,P_six_face_W,closure,sigma_abs_m2,sigma_over_Ageo,Q_hotspot_W_m3,source_central_intensity_native_W_m2,all_case_acceptance,artifact_path
finite_gaussian_cases/flat_45_L8_pml24_dz5_w2_span6p8_pad50,flat,45.0,8.0,24,5.0,6.8,2.0,COMPLETED,80084337b697fee1ded56d4861895f08a0d8a3f4,7.999540122666294e-13,8.731988530752163e-13,0.0,0.47811173075521046,0.5218882692447896,0.0,1.6731528653418457e-12,1.6786535900193833e-12,0.0032768670738517994,1.6731528653418457e-12,0.4182882163354614,10435365.033964757,0.0006521818271053516,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_gaussian_cases/flat_45_L8_pml24_dz5_w2_span6p8_pad50/finite_q_on_artifact.npz
finite_gaussian_cases/flat_x_L8_pml24_dz5_w2_span6p8,flat,0.0,8.0,24,5.0,6.8,2.0,FAILED_ACCEPTANCE,1ef75424eb3e3cbb42335295756f9cc43e1a1240,1.5181406694241922e-12,1.4591989094176183e-14,0.0,0.990479755870615,0.009520244129385015,0.0,1.5327326585183683e-12,1.570922160856924e-12,0.02431024482952335,1.5327326585183683e-12,0.38318316462959207,19484572.07704953,0.000652185260850769,False,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_gaussian_cases/flat_x_L8_pml24_dz5_w2_span6p8/finite_q_on_artifact.npz
finite_gaussian_cases/flat_x_L8_pml24_dz5_w2_span6p8_pad50,flat,0.0,8.0,24,5.0,6.8,2.0,COMPLETED,80084337b697fee1ded56d4861895f08a0d8a3f4,1.5502087304050907e-12,1.5468604943369646e-14,0.0,0.9901201833901958,0.009879816609804167,0.0,1.5656773353484603e-12,1.570922160856924e-12,0.0033386921638451396,1.5656773353484603e-12,0.3914193338371151,19484572.07704953,0.000652185260850769,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_gaussian_cases/flat_x_L8_pml24_dz5_w2_span6p8_pad50/finite_q_on_artifact.npz
finite_gaussian_cases/flat_y_L8_pml24_dz5_w2_span6p8_pad50,flat,90.0,8.0,24,5.0,6.8,2.0,COMPLETED,80084337b697fee1ded56d4861895f08a0d8a3f4,4.9690887825564974e-14,1.7309192009814894e-12,0.0,0.02790666420342261,0.9720933357965774,0.0,1.7806100888070543e-12,1.7863671346430803e-12,0.0032227674392231024,1.7806100888070543e-12,0.4451525222017636,8481724.26123303,0.0006521855018082478,True,/home/seunghyun/tairte4/inverse_design_heat_export/photothermal_pte/validation/photothermal_stage1/output/finite_gaussian_cases/flat_y_L8_pml24_dz5_w2_span6p8_pad50/finite_q_on_artifact.npz
finite_gaussian_contract_probe_01,empty-stack,0.0,8.0,24,5.0,6.0,2.0,CONTRACT_BUILT_NOT_SOLVED,1b538cf82d7ac513034bc1e7ee7da58e34b91c10,,,,,,,,,,,,,,False,
finite_gaussian_controls/empty_L8_pml24_dz5_w2_p0,empty-stack,0.0,8.0,24,5.0,6.0,2.0,FAILED_ACCEPTANCE,657e87a13871850852898f65ea655853c2c1a7a0,,,,,,,,,,,,,0.0006793222247592325,False,
finite_gaussian_controls/empty_L8_pml24_dz5_w2_span6p8_p0,empty-stack,0.0,8.0,24,5.0,6.8,2.0,COMPLETED,1ef75424eb3e3cbb42335295756f9cc43e1a1240,,,,,,,,,,,,,0.000652185260850769,True,
finite_gaussian_controls/empty_L8_pml24_dz5_w2_span6p8_p45,empty-stack,45.0,8.0,24,5.0,6.8,2.0,COMPLETED,80084337b697fee1ded56d4861895f08a0d8a3f4,,,,,,,,,,,,,0.0006521818271053516,True,
finite_gaussian_controls/empty_L8_pml24_dz5_w2_span6p8_p90,empty-stack,90.0,8.0,24,5.0,6.8,2.0,COMPLETED,80084337b697fee1ded56d4861895f08a0d8a3f4,,,,,,,,,,,,,0.0006521855018082478,True,
finite_gaussian_controls/no_source_L8_pml24_dz5_w2_p0,no-source,0.0,8.0,24,5.0,6.0,2.0,COMPLETED,657e87a13871850852898f65ea655853c2c1a7a0,,,,,,,,,,,,,,True,
