run,contact_axis,electrodes,interface_scenario,G_TaIrTe4_SiO2_W_m2K,interface_provenance,polarization,selected_candidate,axis_contract,exact_binary,exact_500nm_bad_nodes,exact_500nm_passed,solid_fraction_design,raw_source_power_W,linear_scale_to_285uW,P_Q_raw_W,P_six_raw_W,P_Q_at_285uW_W,mapped_P_Q_at_285uW_W,Q_mapping_conservation_relative_error,material_attributed_fraction_of_native_P_Q,negative_Q_cell_count,Q_min_W_m3,six_face_closure,current_continuous_at_285uW_A,current_exact_at_285uW_A,current_change_from_continuous_fraction,one_percent_objective_preservation_passed,current_reintegration_relative_error,current_b_component_at_285uW_A,current_a_component_at_285uW_A,current_positive_at_285uW_A,current_negative_at_285uW_A,terminal_conductance_S,Tmax_at_285uW_K,T_hotspot_x_b_um,T_hotspot_y_a_um,Qxy_hotspot_x_b_um,Qxy_hotspot_y_a_um,max_strict_abs_dT_db_K_m,max_strict_abs_dT_da_K_m,max_strict_gradT_K_m,strict_gradient_valid_node_fraction,thermal_forward_residual,thermal_energy_balance,electrical_weighting_residual,physical_gates_passed,no_Q_postprocessing,raw_result_status_preserved
44,y,top-bottom,thermally_grown,7370000.0,legacy thermal.py default plus launch environment; not embedded in the legacy raw JSON,Ea,void_first,"Lumerical x=b, y=a, z=c",True,0,True,0.7073553394851468,1.3830232993859658e-13,2060702810.4771206,2.8784756191150704e-14,2.876439724933292e-14,5.931682798200295e-05,5.778157687839858e-05,0.0,0.9741177814823446,0,0.0,0.0007072820656387887,9.175912643040459e-08,9.001306645066968e-08,-0.019028733681975833,False,1.4703298446233501e-16,7.389758368202022e-08,1.6115482768649462e-08,9.887453757013738e-08,-8.8614711194677e-09,0.013629412337229077,0.3898242044233401,-0.1999999999999993,1.3000000000000007,-0.45000000000004103,1.5499999999999516,161125.7161553928,153555.53579225024,186599.89597722545,0.7148637247981268,8.861225132672545e-11,1.403420053407044e-12,5.711830708076488e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
45,y,top-bottom,thermally_grown,7370000.0,legacy thermal.py default plus launch environment; not embedded in the legacy raw JSON,Eb,void_first,"Lumerical x=b, y=a, z=c",True,0,True,0.7398071881257612,1.3830232993859658e-13,2060702810.4771206,2.9180468191555306e-14,2.917740167312958e-14,6.013227281337624e-05,5.888211934420161e-05,0.0,0.9792099415058775,0,0.0,0.00010508804744313966,5.6368727137967277e-08,5.63587528233735e-08,-0.00017694766407204442,True,1.1741645385878354e-16,4.659493379170559e-08,9.763819031667904e-09,5.83188193755344e-08,-1.960066552160898e-09,0.0184679170722903,0.1908682458541564,0.0,-0.29999999999999893,-1.5500000000000371,3.2499999999999454,45032.99344198485,45411.47520328672,51753.55321032462,0.7547907233002187,7.370590352983463e-11,6.636923734704885e-13,6.441250189450435e-11,True,True,VALIDATED_EXACT_BINARY_GPU_MAXWELL_CUDA_THERMAL_ELECTRICAL_OBJECTIVE
46,x,left-right,thermally_grown,7370000.0,legacy thermal.py default plus launch environment; not embedded in the legacy raw JSON,Ea,solid_first,"Lumerical x=b, y=a, z=c",True,0,True,0.5454057513263558,1.3830232993859658e-13,2060702810.4771206,2.1101726308230938e-14,2.10953848818205e-14,4.348438670929049e-05,4.241597864079301e-05,1.533014620014975e-16,0.9754300761871109,0,0.0,0.0003005169490784908,2.092278002565531e-08,1.9691540610263708e-08,-0.05884683650460731,False,0.0,1.6033925875414853e-08,3.6576147348488533e-09,2.711597339490528e-08,-7.42443278464157e-09,0.005552688766798999,0.2523206804467367,0.6000000000000014,-0.3999999999999986,0.5499999999999553,-0.75000000000004,140530.96412140242,63819.85014509553,141757.58877093485,0.594600643928307,9.312338944528029e-11,1.6564222969261801e-12,4.668689961043492e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
48,x,left-right,thermally_grown,7370000.0,legacy thermal.py default plus launch environment; not embedded in the legacy raw JSON,Eb,solid_first,"Lumerical x=b, y=a, z=c",True,0,True,0.6716624347143948,1.3830232993859658e-13,2060702810.4771206,2.6435177714103018e-14,2.643282090685808e-14,5.4475045010914235e-05,5.340466300044533e-05,0.0,0.9803509660202309,0,0.0,8.915420468994007e-05,2.2540721510510566e-08,2.260641489685277e-08,0.002914431390830726,True,2.9272420817798457e-16,1.8463586344749933e-08,4.142828552102842e-09,2.7737475107871348e-08,-5.131060211018574e-09,0.005575808634745171,0.19745567990139584,0.40000000000000036,0.0,0.3499999999999561,0.04999999999995719,67319.6709021618,36762.90079180418,67319.67673571744,0.6957352662660767,9.859743894068159e-11,1.5012730416652724e-13,5.420866429556686e-11,True,True,VALIDATED_EXACT_BINARY_GPU_MAXWELL_CUDA_THERMAL_ELECTRICAL_OBJECTIVE
55,y,top-bottom,evaporated,73700.0,embedded thermal_interface_contract in raw JSON,Ea,exact_candidate_01,"Lumerical x=b, y=a, z=c",True,0,True,0.6534960054499288,1.3830232993859658e-13,2060702810.4771206,2.4901644204366245e-14,2.48936731746927e-14,5.1314888197438826e-05,4.9882659313230355e-05,0.0,0.9720894084637224,0,0.0,0.00032010053666036684,8.070131754077573e-07,7.745460962797944e-07,-0.040231163650529485,False,0.0,6.821556232720031e-07,9.239047300779133e-08,8.195934805859217e-07,-4.504738430612731e-08,0.017822679156127896,2.9234499756096914,0.0,-1.0,0.14999999999995683,2.4499999999999487,772357.7507566942,568184.2447528762,773049.5786990621,0.6853532136154681,7.60339048442084e-11,1.4847904503995006e-11,3.355997706817784e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
56,y,top-bottom,evaporated,73700.0,embedded thermal_interface_contract in raw JSON,Eb,exact_candidate_02,"Lumerical x=b, y=a, z=c",True,0,True,0.6480873640098264,1.3830232993859658e-13,2060702810.4771206,2.7336937808991505e-14,2.7334004110300318e-14,5.633330457282705e-05,5.519865113215471e-05,1.1780055136293023e-16,0.9798582126634258,0,0.0,0.00010731628800875011,9.252010718684145e-07,8.936255202059343e-07,-0.03412831288523522,False,0.0,7.82281769175432e-07,1.113437510305023e-07,9.310041441653888e-07,-3.7378623959454484e-08,0.01699237336514177,3.1119273793312776,0.0,-0.6999999999999993,-0.75000000000004,2.8499999999999472,663427.2449953671,563242.2841707686,676153.2943087535,0.6814793133727036,6.852344703649443e-11,1.1850499866008056e-11,5.6495628131359437e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
57,x,left-right,evaporated,73700.0,embedded thermal_interface_contract in raw JSON,Ea,exact_candidate_03,"Lumerical x=b, y=a, z=c",True,0,True,0.711855659462026,1.3830232993859658e-13,2060702810.4771206,2.7465771434869406e-14,2.7453641949274306e-14,5.6598792387757605e-05,5.500717819269218e-05,1.1821059998896144e-16,0.9718790078742088,0,0.0,0.0004416218792129307,3.1484723299353646e-07,2.975014811570976e-07,-0.05509259735750936,False,0.0,2.422810289373393e-07,5.522045221975834e-08,3.92382913989311e-07,-9.488143283221336e-08,0.005693553824213236,2.8139977417835147,1.1000000000000014,0.0,-1.050000000000039,1.5499999999999516,1479601.6326832485,495918.8712778251,1493232.8904338116,0.7291196776914998,5.5432930540518264e-11,1.0866864035785248e-11,5.062710263510039e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
58,x,left-right,evaporated,73700.0,embedded thermal_interface_contract in raw JSON,Eb,exact_candidate_00,"Lumerical x=b, y=a, z=c",True,0,True,0.6919758056192069,1.3830232993859658e-13,2060702810.4771206,2.5625609137957562e-14,2.5624298175732163e-14,5.2806764770777335e-05,5.1788369850609184e-05,0.0,0.9807146882678994,0,0.0,5.115828538325317e-05,3.22120999207494e-07,3.120540573256135e-07,-0.03125205095801869,False,3.3929736185518573e-16,2.5498524651817097e-07,5.706881080744259e-08,4.0803975755793617e-07,-9.59857002323226e-08,0.005642973735265157,2.8033770104866003,1.3000000000000007,0.0,-0.75000000000004,0.04999999999995719,1102695.330260049,465380.4857432542,1127043.8933693983,0.7176701503073294,6.296412297959127e-11,1.9411229174671538e-13,6.792976712013229e-11,True,True,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
