coarse_factor,fine_factor,density_case,polarization,P_Q_relative_change,P_six_relative_change,remapped_Q_volume_L2_NRMSE,Ta_temperature_NRMSE,Tmax_relative_change,current_relative_change,current_sign_preserved,au_x_W_change_over_total,au_y_W_change_over_total,au_z_W_change_over_total,tairte4_x_W_change_over_total,tairte4_y_W_change_over_total,tairte4_z_W_change_over_total,comparison_pass
1,2,eta_0.50_nominal,Ea,0.07258529951049711,0.07090858024392475,0.29549738184985175,0.07961334167439486,0.0891252658587028,0.09012203223501497,True,0.0001363145429055197,0.0019557929184104463,0.00010206320394876525,0.0005421582272711507,0.07218251727617382,0.002333546658212674,False
1,2,eta_0.50_nominal,Eb,0.05115586444420092,0.05145174766816284,0.28091612863595006,0.05274504420320427,0.05750336834503591,0.06459849240288643,True,0.0029307717124737427,0.00026682919059813374,0.00016001469180121803,0.04460918466242771,0.003935692217619136,0.0007466280307190301,False
1,2,eta_0.35,Ea,0.06244115433567722,0.05877062517110021,0.2999389989999881,0.07002406992474408,0.14831982722553275,0.05556297650774759,True,0.00040038857220025794,0.007513539429069212,0.00017351398511595656,0.0012146079928345348,0.05813176448985778,0.00499266013340048,False
1,2,eta_0.35,Eb,0.055167440608366806,0.05464184244930278,0.2826474066841896,0.05487104806829327,0.14514208220424057,0.09686488192138207,True,0.00945479659599508,0.0004037653074230418,0.0007880549156235728,0.04029559414230009,0.007268240671360772,0.003043011024335726,False
1,2,eta_0.65,Ea,0.07459465228299088,0.07327322330383279,0.2952477348898086,0.0796112038041411,0.08879709670228235,0.1280476619165195,True,0.00011900599945911817,0.0009103437417637988,3.40293844431149e-05,0.00020184513447678708,0.07466715067442362,0.0013377226515755493,False
1,2,eta_0.65,Eb,0.05685583955082897,0.05730511318168024,0.2811762424890521,0.05921777191618496,0.06527395463767498,0.20114536246673836,True,0.0025527872941285,9.947997783488518e-05,8.24710116872268e-05,0.05151787460528624,0.002707839695222874,0.00010461303333081057,False
2,4,eta_0.50_nominal,Ea,0.04103386328326894,0.044360820664570415,0.1834375125222161,0.04417440922688573,0.049266946033537845,0.04748066120556035,True,0.0007903055066548064,0.001789073813856739,2.642249567761342e-05,0.0006200656693308625,0.039219238918226186,0.0014112431204772536,False
2,4,eta_0.50_nominal,Eb,0.041913536618376976,0.04199462498457787,0.31674784361800046,0.04250371585837565,0.03677037173615111,0.07780273877320477,True,0.01781396971862122,0.0005061045843842718,0.00010774298447751036,0.02507949602611649,0.0011628630872482777,0.0027566397824707583,False
2,4,eta_0.35,Ea,0.03733428946421591,0.042340655416932216,0.1835335017647486,0.040995221754831536,0.01839106568894642,0.06758464552137558,True,0.0011896894320503066,0.003982763890122158,8.70031373135164e-05,0.0008201722295553841,0.03412518505519237,0.0028705242800179014,False
2,4,eta_0.35,Eb,0.047563572674726204,0.048679893226700376,0.35147663724874284,0.04698048464664903,0.016269647949225547,0.26443466747645406,True,0.030304611925510143,0.00042391909083099207,0.0017415148074343583,0.01854860852241837,0.002739097954214824,0.006194179625682525,False
2,4,eta_0.65,Ea,0.040684073699252664,0.043724275598367016,0.1818248905406749,0.043630989113023703,0.048984063761531825,0.049476109018430275,True,0.0005853632075773583,0.0010160366286499386,2.7781975900488354e-05,0.0002767288580115549,0.03963314356623439,0.0008549805371209761,False
2,4,eta_0.65,Eb,0.04328890373407234,0.043072455827224326,0.32629613513406264,0.049903481989968294,0.04174792638112791,0.396808418618282,True,0.01602077676468372,0.00020055084303412162,7.629789518633689e-05,0.02956967636311462,9.172716807629457e-05,0.0026701253000227256,False
4,8,eta_0.50_nominal,Ea,0.026185905309685887,0.019634593825493773,0.10799379471864747,0.02766534121068918,0.029807442312028025,0.021675058058023083,True,0.00060184161376994,0.0023122777618654615,0.00013160938907555653,0.00032990879775212143,0.023259572235161372,0.00044930448793857424,False
4,8,eta_0.50_nominal,Eb,0.015339150882757977,0.005086490763466111,0.19694676446220072,0.0206091564431355,0.024610359856461605,0.058516921498438235,True,0.002020829389427322,0.000474399582073437,0.00014034430012046896,0.014537768376305774,0.0009747846889277828,0.0028089754540967997,False
4,8,eta_0.35,Ea,0.03014011390934555,0.0108632050667054,0.10740828356470805,0.03078532205125814,0.020881221839406577,0.01125611726178891,True,0.000820952937646693,0.006540809640671949,0.00017534007314518615,0.0008540829115934293,0.022438497540058968,0.0006895691937706617,False
4,8,eta_0.35,Eb,0.02421892346775702,0.0025705539828417825,0.20594903244381935,0.027177977749918425,0.006476658986579195,0.2081183116803469,True,0.008229258251370724,0.0008419302976878914,0.0028537623417501366,0.01588694185850257,0.0023009418659960964,0.005893911147550448,False
4,8,eta_0.65,Ea,0.025948084657951603,0.020633606353136606,0.10736867216223508,0.027603170217824744,0.029507798649021193,0.0011620879883416087,True,0.000417680721835981,0.0015075496347117536,1.7751252219519924e-05,0.0001631618589867297,0.024018552070970006,0.00017661088077237052,False
4,8,eta_0.65,Eb,0.017618169443128284,0.008483379188863825,0.1975809438026316,0.022031147925144302,0.026815986554687858,0.07596265331475562,True,0.0016132042822093026,0.0002488016326929874,4.901867020779017e-05,0.01764660132492312,0.0004299228135141147,0.002369379280419011,False
