factor,density_case,polarization,sio2_dz_nm,tairte4_dz_nm,au_dz_nm,yee_cell_count,compile_s,forward_s,P_Q_W,P_six_W,closure_relative,au_x_W,au_y_W,au_z_W,tairte4_x_W,tairte4_y_W,tairte4_z_W,mapping_error_relative,Tmax_K,current_A,current_nA,thermal_energy_balance_relative,thermal_residual_relative,electrical_residual_relative,raw_path,raw_bytes,raw_sha256,physics_gates_pass
2,eta_0.35,Eb,47.5,10.0,12.5,1729800,8.924397747963667,19.72356692329049,5.338041625013839e-05,5.345466456540948e-05,0.0013889960001570163,3.029705716224711e-06,1.686397432756746e-07,1.2382764564997062e-07,4.4000622214341694e-05,1.7058990675976262e-06,4.351721863048715e-06,1.3536758688090037e-16,1.3611810293992692,-2.2512512630322178e-09,-2.2512512630322177,3.3153417123147675e-11,8.105990036354828e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.35_Eb.npz,18885452,ed9ece45677c230aeb849f0d881027a94cae4270f8daf127d155b14c52eaec05,True
2,eta_0.65,Eb,47.5,10.0,12.5,1729800,8.924397747963667,19.759080927819014,0.00011234864275763333,0.00011247106645653864,0.001088490602626323,9.555495745054545e-07,5.502837087344322e-08,2.034253015414013e-08,0.00010702245367343211,1.0663681381664813e-06,3.2289004705017047e-06,1.2174635698819027e-16,1.5853759735672825,-2.355337996818599e-09,-2.355337996818599,3.706935386878077e-13,8.082482628381898e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f2_eta_0.65_Eb.npz,18885452,befbccd710e9c2e77fc89e2dc007670ccf4826ab9a275177963792290ae53e74,True
4,eta_0.50_nominal,Ea,23.75,5.0,6.25,2421720,9.30363979935646,54.693919487297535,5.060352068213821e-05,5.071372208273974e-05,0.002173009514500531,6.808046932483496e-08,1.1830388869578094e-06,1.3583288461968807e-08,3.899605473681413e-07,4.854867731652621e-05,4.00180173499241e-07,1.6743717402151582e-16,0.9662599767299801,7.430158051376215e-09,7.430158051376215,2.766290785859206e-12,6.6393022570422e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.50_nominal_Ea.npz,18885452,1cb025de42e72fe5ed4f94c16ad247e182300ae138fdd8bda9262e6fa3239e14,True
4,eta_0.35,Ea,23.75,5.0,6.25,2421720,9.30363979935646,54.6173352599144,2.5807063850434663e-05,2.5876648115214445e-05,0.002689075666599529,8.153345371676416e-08,2.4241285923876342e-06,3.960286214196854e-08,3.3885059812908834e-07,2.2427435739081536e-05,4.955126049776705e-07,1.6639386818048105e-16,2.2913603415458885,3.2330143190999634e-09,3.233014319099963,2.7047483547725996e-11,7.545878185116731e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.35_Ea.npz,18885452,cb520b883c829246a1f4d0347fb8f236cea32e2b836603747f81201e51c21d12,True
4,eta_0.65,Ea,23.75,5.0,6.25,2421720,9.30363979935646,54.6946437060833,6.113128061226463e-05,6.125928552134934e-05,0.0020895592887725345,6.219856290153473e-08,6.828019075076704e-07,7.941335530565426e-09,1.890724976447095e-07,5.9904803326460034e-05,2.844629822201233e-07,1.406205865732697e-16,0.994425636957956,2.4349642646737566e-09,2.4349642646737566,2.0865976357008986e-12,7.146192039512458e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.65_Ea.npz,18885452,fea929b6866f360f51f0cc8422cb046d4a8ace0e89126b4fe4a7ebe76ee910a1,True
4,eta_0.50_nominal,Eb,23.75,5.0,6.25,2421720,9.484023034572601,57.41431351751089,9.281031190055167e-05,9.296688644214082e-05,0.0016841968961346186,3.052026987206762e-06,1.176724301749514e-07,4.457199039415696e-08,8.575671402014918e-05,1.4231111114636423e-06,2.4162153611629717e-06,1.5126256787164112e-16,1.5216680502799707,8.318403686800401e-09,8.318403686800401,1.2758257416715451e-11,7.510029890094155e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.50_nominal_Eb.npz,18885452,441b89bd2b75f7c031b4a8070ef8e92e715e89ebab15a8c9d8283c43a872ebf2,True
4,eta_0.35,Eb,23.75,5.0,6.25,2421720,9.484023034572601,57.372432202100754,5.604617244643462e-05,5.618998713978382e-05,0.0025594363100926555,4.7281632221241315e-06,1.9239878574372417e-07,2.2143288486545604e-07,4.504020072623056e-05,1.8594150238872265e-06,4.00456180358352e-06,1.3311802495749567e-16,1.3836932311396375,-1.780440951943561e-09,-1.780440951943561,8.921001052049376e-11,8.463072535964716e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.35_Eb.npz,18885452,3cd236417a90c0254fd9d7af88d2d2f65572f4bf092ab3faa1a28b33d418d708,True
4,eta_0.65,Eb,23.75,5.0,6.25,2421720,9.484023034572601,57.37050694972277,0.00011743215187545486,0.00011753352397622249,0.0008624952042460423,2.8369038646985514e-06,7.85794879313767e-08,2.9302356169439578e-08,0.00011049488439901343,1.077139856899122e-06,2.9153419107429415e-06,1.1837574406542671e-16,1.6544456487112575,-3.9047925559956864e-09,-3.9047925559956864,1.4806756125594441e-12,9.554619731260076e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f4_eta_0.65_Eb.npz,18885452,c21adabeea9623694bcaa0919ca9ef3b6113ef1ab7028ebe9b156ddb2cf5a6b2,True
8,eta_0.50_nominal,Ea,11.875,2.5,3.125,3805560,12.021896857768297,182.59879300743341,5.1964251655477225e-05,5.172940799760598e-05,0.004539848163004523,9.935471839951465e-08,1.3031946704727499e-06,2.0422271876114642e-08,4.0710401115788845e-07,4.975734358155289e-05,3.7683240201806557e-07,2.976281856550899e-16,0.9959465974802327,7.594775245765826e-09,7.594775245765826,1.8009876654572917e-12,6.813342284958535e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.50_nominal_Ea.npz,18885452,24284b03dc4c9718ee331c89f570d68497f0ce92727330a70bc8ec198e6e44a6,True
8,eta_0.35,Ea,11.875,2.5,3.125,3805560,12.021896857768297,182.6984794959426,2.6609064072604023e-05,2.6160838670408085e-05,0.017133449269076746,1.0337824303519751e-07,2.59817341520298e-06,4.4268497382783876e-08,3.615769450469941e-07,2.3024503157817933e-05,4.77163814118133e-07,1.4198119085586374e-16,2.340227143687835,3.269819794127582e-09,3.269819794127582,2.9284369106945105e-11,7.833248012934914e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.35_Ea.npz,18885452,bcd0291782ac48984acdada7b67411cbebbe689721bddbb2cffe15594044276f,False
8,eta_0.65,Ea,11.875,2.5,3.125,3805560,12.021896857768297,182.8024965301156,6.275977660882454e-05,6.254991586268173e-05,0.003355092380995862,8.841211169777348e-08,7.774153858088952e-07,9.055400154389398e-09,1.993124994657972e-07,6.141220228890153e-05,2.7337892279616156e-07,2.1899572485852143e-16,1.0246611313039513,2.4377971995173285e-09,2.4377971995173287,1.4426064361323318e-11,9.934037357098631e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.65_Ea.npz,18885452,cbc65362d55b94f8438db74b3764ed28146dad2e5156754c164b5090c8592d1d,True
8,eta_0.50_nominal,Eb,11.875,2.5,3.125,3805560,12.639692541211843,181.7583686709404,9.425612075848959e-05,9.344217922368021e-05,0.008710643753940948,3.2425025261689284e-06,1.6238749447064227e-07,5.780029969407759e-08,8.712698767178521e-05,1.514990534816746e-06,2.1514522315539906e-06,1.492677068226883e-16,1.5600617308751012,8.835425592608356e-09,8.835425592608356,1.1999066873610824e-11,8.151482753410188e-10,7.76825338850409e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.50_nominal_Eb.npz,18885452,f246ac8988df4bc2a133078885f2857f6b1082e4b0eb71def3410d7c58f31006,False
8,eta_0.35,Eb,11.875,2.5,3.125,3805560,12.639692541211843,181.81100102514029,5.743724058024676e-05,5.633479878116333e-05,0.019569463687372852,5.200829108105093e-06,2.4075693880382236e-07,3.8534511904740703e-07,4.5952702827841766e-05,1.991574775405606e-06,3.666031811043067e-06,1.4536518848945153e-16,1.3927133606425721,-2.2483673738201953e-09,-2.2483673738201952,8.052343376481578e-11,8.470004404566788e-10,8.918844201482667e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.35_Eb.npz,18885452,72ed8dfbf46bde25a91a3684cdc1467114f726343ff7645a0e4e2d00e88c1db0,False
8,eta_0.65,Eb,11.875,2.5,3.125,3805560,12.639692541211843,181.76550802215934,0.00011953819606871945,0.00011853913641918691,0.008428099610913247,3.029743394484185e-06,1.0832078628244855e-07,3.5161959579766296e-08,0.00011260432728813862,1.1285320544753878e-06,2.6321105857590524e-06,2.6693116399256543e-16,1.700033730367303,-3.62911532660177e-09,-3.62911532660177,2.993981412700258e-12,9.80412436743531e-10,9.254928228219592e-11,/home/seunghyun/tairte4/raw/au_dualpol_4um_current_switch/z_mesh_convergence/f8_eta_0.65_Eb.npz,18885452,f4d13aa5d84be9d84bcb57ae64bba4a1a2f0cad59941a4b7d404b229deb3e53c,False
