scenario,flake_span_um,case,lateral_domain_um,si_depth_um,core_xy_cell_size_nm,flake_dz_nm,design_dz_nm,cells,source_power_W,source_mapping_error,Tmax_DeltaT_K,TaIrTe4_volume_average_DeltaT_K,PTE_objective_A,PTE_cancellation_ratio,field_probe_NRMSE,Tmax_relative_difference,flake_average_relative_difference,PTE_raw_relative_difference,PTE_contribution_normalized_difference,energy_balance_relative_error,linear_residual_relative,raw_sha256
TaIrTe4_4um_footprint,4.0,native,32.0,20.0,100.0,25.0,100.0,438976,1.6887880194040323e-12,0.0,1.0699584410421907e-07,4.0862324700272296e-08,3.4673224271291514e-16,0.005028464084403306,,,,,,3.180757567013588e-12,1.0135889149930047e-11,a3f382b195e14d951a7136a7158089a629b994b46a725cf16328ac5fcbde45a7
TaIrTe4_4um_footprint,4.0,lateral_40um,40.0,20.0,100.0,25.0,100.0,536256,1.688788019404032e-12,1.1958184770155224e-16,1.0701106846249064e-07,4.087759119423367e-08,3.467340881681774e-16,0.005023513853057427,0.00030550665610533796,0.0001422690053497531,0.0003734685316665055,5.322393514844049e-06,2.6737117553242088e-08,1.6381517316635643e-12,1.0097559550170549e-11,c69e44f1eb2ae1ff7635ac7c42a9ac9facb1f31b4a1bb2dcb7f0b937a11be706
TaIrTe4_4um_footprint,4.0,si_depth_30um,32.0,30.0,100.0,25.0,100.0,554496,1.6887880194040323e-12,0.0,1.0699818015256422e-07,4.08646418133668e-08,3.4673227436139304e-16,0.00502771373125705,4.637941052482402e-05,2.1832598851861228e-05,5.670215109398598e-05,9.127641190415121e-08,4.589116694703755e-10,4.102374867249451e-12,9.792873823286384e-12,e454855ab9346d62e92b8b40ff1bc60992a4d6cfca80545ac68652a0faa0a7a5
TaIrTe4_4um_footprint,4.0,refined,32.0,20.0,50.0,12.5,50.0,1238400,1.6887880194040317e-12,3.587455431046567e-16,1.072998620511132e-07,4.076778839475326e-08,3.4514680345556366e-16,0.005090189759223003,0.0020092225089165215,0.002833348907282932,0.002313532238130423,0.004572517528068998,2.2992740165199543e-05,9.25443919362313e-13,1.907100736577123e-11,85c1d71f135cb6829c4f8ed5065513cb53168648bd72450eed051e39c934c4e7
TaIrTe4_6um_footprint,6.0,native,32.0,20.0,100.0,25.0,100.0,671536,1.688788019404032e-12,1.1958184770155224e-16,1.0518719644809754e-07,1.8732954753147718e-08,9.511775516780675e-17,0.005184759944834588,,,,,,3.499682354833628e-12,1.0053548635968175e-11,7722d56a04d8a033e244ac811a91b7246a22c476079d7cb1e9c457e94db1f487
TaIrTe4_6um_footprint,6.0,lateral_40um,40.0,20.0,100.0,25.0,100.0,790704,1.688788019404032e-12,1.1958184770155224e-16,1.0520243712388058e-07,1.874831357539748e-08,9.512347041949574e-17,0.005155423066007293,0.0004823143019801163,0.00014486998780357483,0.0008192108686466544,6.008245561040661e-05,3.097504775162495e-07,1.1555193943400994e-12,1.0074923613274668e-11,c0ac363f0c72e1b4f77d8cf32a2784c8635cc190ee7690557afaf1fc0bce0a00
TaIrTe4_6um_footprint,6.0,si_depth_30um,32.0,30.0,100.0,25.0,100.0,848256,1.688788019404032e-12,1.1958184770155224e-16,1.0518952492245298e-07,1.8735230426446403e-08,9.511784847756417e-17,0.005180443543915358,7.148640229937849e-05,2.213599079529627e-05,0.00012146492180169722,9.809910433531871e-07,5.0819687171778095e-09,5.63684913695577e-12,1.0144498441926168e-11,7a32685fc02cd5386e217a3ad419ec402dd382fa00386dca9c3cbafeb2174727
TaIrTe4_6um_footprint,6.0,refined,32.0,20.0,50.0,12.5,50.0,2146904,1.688788019404032e-12,1.1958184770155224e-16,1.0551903798405521e-07,1.8701063669035743e-08,9.451895460234034e-17,0.005235627548065203,0.0013900993995246713,0.0031448498991036816,0.0017024054417585101,0.006295360570799928,3.263993332577448e-05,3.5073355930865273e-13,1.953723246545124e-11,bca0a4abc7e20d354c5ed503cbc4face050e2f0f5578f78f9b00436ec6fba5e0
