scenario,step,objective_plus_A,objective_minus_A,finite_difference_directional_A,thermal_material_directional_A,optical_Q_directional_A,combined_adjoint_directional_A,relative_error,passed_1pct_diagnostic,passed_original_0p5pct_gate
4um,0.01,4.549447205361708e-16,4.703371849764069e-16,-7.696232220118062e-16,1.0220258250929089e-17,-7.633100568397052e-16,-7.530897985887762e-16,0.02148249032794441,False,False
4um,0.005,4.587907942883539e-16,4.664871153169232e-16,-7.696321028569287e-16,1.0220258250929089e-17,-7.633100568397052e-16,-7.530897985887762e-16,0.021493781518138712,False,False
6um,0.01,1.2466486659864344e-16,1.2658894989293555e-16,-9.620416471460541e-17,7.316585408538933e-19,-9.416183896023261e-17,-9.343018041937872e-17,0.028834347280659395,False,False
6um,0.005,1.2514513396668033e-16,1.2610719313224727e-16,-9.620591655669392e-17,7.316585408538933e-19,-9.416183896023261e-17,-9.343018041937872e-17,0.02885203152427182,False,False
