scenario,step,clipped_optical_error,clipped_combined_error,full_optical_error,full_combined_error
4um,0.01,0.027434728152897464,0.0277994009172312,3.363762052478463e-06,3.0468853239683753e-06
4um,0.005,0.02744606356927276,0.02781061921609939,8.29143871263641e-06,8.49221888383094e-06
6um,0.01,0.028031686526844894,0.02824561524306892,3.2484844830555506e-06,2.5116416039849698e-06
6um,0.005,0.02804980221932211,0.028263310207077758,1.538971680186537e-05,1.5697694623095208e-05
