label,optical_flake_dz_nm,P_Q_W,mapping_power_error,transpose_error,Qx_relocated_power_fraction,Qy_relocated_power_fraction,peak_Q_W_m3,hotspot_x_m,hotspot_y_m,hotspot_z_m,outside_TaIrTe4_nonzero_count
coarse,5.0,1.6890916194508477e-12,2.391207077354819e-16,2.3007996144800502e-15,0.031218334119732592,0.026933440329013347,5603622.669830894,-4.9999999999999945e-08,-4.9999999999999945e-08,-1.25e-08,0
fine,2.5,1.6887880194040323e-12,0.0,2.0159629495077137e-15,0.015636897200174204,0.012887359437576233,5601395.5670616375,4.9999999999999945e-08,-4.9999999999999945e-08,-1.25e-08,0
