direction,step,adjoint_directional,finite_difference,plus,minus,relative_error,gate,status
uniform,0.0025,-4.716716167139546e-12,-4.833696135289278e-12,9.355479625222e-12,9.379648105898447e-12,0.024200935448899785,0.05,PASSED
oscillatory_cancellation_prone,0.02,-7.750926106180087e-16,-5.838636193698367e-16,9.37727562269963e-12,9.377298977244404e-12,0.24671760332703768,0.05,FAILED_NOISE_FLOOR_DIAGNOSTIC
