target,resolution_nm,direction,JVP_centered_FD_relative_error,JVP_VJP_dot_relative_error,dot_left,dot_right
optical_81x81x13_nodes,25.0,smooth,4.368814254023157e-12,2.9353538737811007e-16,0.1891122965687015,0.18911229656870143
optical_81x81x13_nodes,25.0,seeded_random,1.1791424701562711e-11,2.6350651520436783e-16,0.10533164841902487,0.1053316484190249
thermal_cell_average,100.0,smooth,4.78326822127448e-12,2.0495255358821312e-16,1.0833951616487745,1.0833951616487747
thermal_cell_average,100.0,seeded_random,6.185836542226413e-11,1.95899765298606e-16,0.03542063408463208,0.03542063408463207
thermal_cell_average,50.0,smooth,4.9208490493923945e-12,1.9857247379899624e-16,0.559102177348595,0.5591021773485951
thermal_cell_average,50.0,seeded_random,3.663059274866975e-11,0.0,0.0334470805796036,0.0334470805796036
