coarse_dz_nm,fine_dz_nm,scenario,P_Q_relative_difference,remapped_Q_field_NRMSE,Tmax_relative_difference,TaIrTe4_temperature_field_NRMSE,PTE_objective_relative_difference,optical_directional_gradient_relative_difference,combined_directional_gradient_relative_difference,decisive_maximum,passed_0p5pct
2.5,1.25,4um,1.3011156246294497e-06,0.0025119637254406666,0.0001060472889822625,0.00011309911095510614,0.00023870472204130588,0.0001667262743583121,0.0001679844741919042,0.00023870472204130588,True
2.5,1.25,6um,1.3011156246294497e-06,0.00251196372544063,0.00010831689809017388,0.00011761390863213838,0.0002387221865867779,0.0001144609060659822,0.00011429942916919187,0.0002387221865867779,True
1.25,0.625,4um,6.610042364821029e-06,0.000508735074424191,1.5651387665380435e-05,2.1523177736591985e-05,4.155196010238148e-05,3.490028625546425e-05,3.50958482894871e-05,4.155196010238148e-05,True
1.25,0.625,6um,6.610042364821029e-06,0.0005087350744242106,1.614303906188879e-05,2.2157902899764776e-05,4.150636369927872e-05,2.565291516377401e-05,2.55954866489962e-05,4.150636369927872e-05,True
2.5,0.625,4um,7.911149389021079e-06,0.003020509847344251,0.00012169701686041222,0.0001339127134313258,0.0002802467634946008,0.00020162074181907496,0.00020307442692377007,0.0002802467634946008,True
2.5,0.625,6um,7.911149389021079e-06,0.0030205098473442362,0.00012445818858814573,0.00013912058779936973,0.00028021864179615706,0.00014011088497384332,0.0001398919902686748,0.00028021864179615706,True
