space,step,adjoint,finite_difference,relative_error,pass_5pct
physical_rho,0.00125,1.590245539426851e-20,1.598166117500327e-20,0.004956041794869512,True
physical_rho,0.0025,1.590245539426851e-20,1.6066955027316433e-20,0.01023838261626091,True
latent,0.0025,3.480580029006301e-19,3.737538970142996e-19,0.06875083930612876,False
latent,0.005,3.480580029006301e-19,3.4264419925115353e-19,0.015554314523324394,True
latent,0.01,3.480580029006301e-19,3.1337816713110473e-19,0.09963809330775936,False
