a_minus_b_superposition_relative_error,current_superposition_relative_error,free_edge_Tmax_rise_K,free_edge_fraction_of_full_a_minus_b,free_edge_solve_energy_balance_relative_error,free_edge_solve_iterations,free_edge_solve_linear_residual_relative,free_edge_source_Ib_over_Ia,free_edge_source_a_minus_b_current_A,free_edge_source_current_A,free_edge_source_current_fraction_of_full,free_edge_source_power_W,free_edge_source_power_fraction,full_Tmax_rise_K,full_a_minus_b_current_A,full_current_A,full_saved_field_linear_residual_relative,full_source_power_W,maximum_temperature_superposition_error_K,polarization,record_type,remainder_Tmax_rise_K,remainder_fraction_of_full_a_minus_b,remainder_inferred_linear_residual_relative,remainder_source_Ib_over_Ia,remainder_source_a_minus_b_current_A,remainder_source_current_A,remainder_source_current_fraction_of_full,remainder_source_power_W,saved_current_reintegration_relative_error,scan_distance_um,source_partition_relative_error
,1.2056251674237086e-16,0.25285975018710505,,4.719899390588921e-12,2078,9.924610626475479e-11,,,1.1877036574962715e-08,0.8655458065555771,5.684394175387773e-06,0.3966080628744735,0.26464296047011704,,1.3722019660897154e-08,1.016684334297511e-10,1.4332522980469223e-05,1.3877787807814457e-17,a,case,0.08218420869654164,,2.6037538630950487e-10,,,1.8449830859344407e-09,0.13445419344442291,8.648128805081448e-06,0.0,1.0,1.1819732623607766e-16
,1.4830166240663504e-16,0.11702273865822005,,1.6379202367875285e-11,2042,1.0028321356569436e-10,,,8.427718307491494e-09,0.7554847250579739,3.8930764679551765e-06,0.23895414837691265,0.15111590149626838,,1.1155378828929695e-08,1.0161297744142206e-10,1.6292148491243013e-05,1.3877787807814457e-17,b,case,0.12078400429688557,,1.4528209610227872e-10,,,2.727660521438202e-09,0.24451527494202613,1.2399072023287836e-05,0.0,1.0,0.0
,1.2075971624014552e-16,0.268145308246756,,8.290805801253755e-12,2050,1.0023914956627205e-10,,,1.1516476183451878e-08,0.8406425240720256,4.957266356481051e-06,0.4181169837525181,0.27858970189293375,,1.3699611729926187e-08,1.0076757390789056e-10,1.1856170758696658e-05,1.3877787807814457e-17,a,case,0.07294688083835729,,2.6130083037573433e-10,,,2.1831355464743083e-09,0.15935747592797442,6.898904402215609e-06,0.0,3.0,0.0
,0.0,0.130457659134196,,2.7515392467320005e-11,2088,1.0009983665611694e-10,,,8.79735104763253e-09,0.7674698296193871,3.558364978396467e-06,0.2687002728591533,0.15283275492209442,,1.1462797243763208e-08,1.0160933377328463e-10,1.3242878172519318e-05,1.3877787807814457e-17,b,case,0.10412928894332447,,1.527009854292729e-10,,,2.6654461961306784e-09,0.23253017038061288,9.684513194122852e-06,0.0,3.0,0.0
,2.6919211380264617e-16,0.23712248192707236,,3.5003482417146345e-11,2083,9.908437449628453e-11,,,9.824914379815553e-09,0.7993385693813679,3.983151234935502e-06,0.4341186952128109,0.24547284745348272,,1.2291305281839895e-08,1.0073719433224062e-10,9.175258469306206e-06,1.3877787807814457e-17,a,case,0.06528151339131703,,2.4701593945660153e-10,,,2.4663909020243377e-09,0.2006614306186317,5.192107234370706e-06,0.0,5.0,3.6926826643101616e-16
,1.5934119442767434e-16,0.12735526836126615,,4.407183146984865e-11,2093,9.970562478724453e-11,,,8.036087148730798e-09,0.7740025004040831,2.98427846045876e-06,0.2973284935878525,0.14787975148765403,,1.0382507995174953e-08,1.0197791750553584e-10,1.0036974339215109e-05,1.3877787807814457e-17,b,case,0.08423698756451493,,1.7386149568169774e-10,,,2.346420846444157e-09,0.22599749959591706,7.052695878756348e-06,0.0,5.0,1.687825272093977e-16
1.6114070232393057e-16,,,1.3439037610989555,,,,0.7095809004459473,3.4493182674712205e-09,,,,,,2.566640831967459e-09,,,,,a-minus-b,same_position_a_minus_b,,-0.34390376109895543,,1.4784203401283247,-8.826774355037612e-10,,,,,1.0,
5.54704436378161e-16,,,1.2156238939974509,,,,0.7638926098135398,2.7191251358193487e-09,,,,,,2.23681448616298e-09,,,,,a-minus-b,same_position_a_minus_b,,-0.2156238939974514,,1.2209256545867186,-4.823106496563701e-10,,,,,3.0,
3.2501379991937774e-15,,,0.9371488756724927,,,,0.8179294839698809,1.7888272310847557e-09,,,,,,1.9087972866649426e-09,,,,,a-minus-b,same_position_a_minus_b,,0.06285112432750402,,0.9513580529827154,1.1997005558018064e-10,,,,,5.0,
