face,outward_power_W,absolute_power_W,absolute_power_over_abs_P_six
x_min,1.5310686969112808e-16,1.5310686969112808e-16,1.1988975463587093e-05
x_max,1.880451072744886e-16,1.880451072744886e-16,1.4724800929635124e-05
y_min,3.6529632384509123e-16,3.6529632384509123e-16,2.8604390334362244e-05
y_max,2.442294445607939e-16,2.442294445607939e-16,1.9124294188966304e-05
z_min,4.396774313364864e-11,4.396774313364864e-11,3.44287747951494
z_max,-5.6739332149602656e-11,5.6739332149602656e-11,4.442951921975856
