polarization,oxide_dz_nm,status,P_Q_full_W,P_Q_TaIrTe4_W,P_Q_SiO2_W,P_Q_TaIrTe4_plus_SiO2_W,P_six_W,six_face_closure,auto_shutoff
a,10,FAILED_ACCEPTANCE,1.2611879359917496e-11,1.174108848212031e-11,5.168273162833874e-13,1.2257915798403697e-11,1.2771416094730729e-11,0.012491702848758831,9.81673e-06
a,5,FAILED_ACCEPTANCE,1.2611104551458292e-11,1.1740436584041703e-11,5.2353290822064e-13,1.2263969492262343e-11,1.2770638338208644e-11,0.012492232770623574,9.68584e-06
