polarization,P_Q_full_control_volume_W_at_1_W_m2,P_Q_TaIrTe4_W_at_1_W_m2,P_Q_outside_TaIrTe4_W_at_1_W_m2,P_six_W_at_1_W_m2,matched_volume_closure,auto_shutoff,P_abs_TaIrTe4_W_at_285uW_incident,Tmax_K,Tavg_TaIrTe4_K,strict_centered_max_abs_dTdn_K_m,strict_centered_p99_abs_dTdn_K_m,thermal_energy_balance,thermal_linear_residual,mapping_power_error,gradient_rotation_identity_max_relative_error,finite_gradient_samples_outside_flake
a,1.2205763541327975e-11,1.1752145968025344e-11,4.536175733026315e-13,1.2244057721032942e-11,0.0031275726215488787,9.94009e-06,2.7806972579175566e-05,0.23386540644682902,0.006933575839410251,61037.23915272186,59184.70400574873,1.0798728815595874e-11,1.0275392278024081e-10,0.0,7.512014045559853e-16,0
b,1.509664735857373e-11,1.4669010881929403e-11,4.2763647664432683e-13,1.514831468360632e-11,0.0034107639108201123,9.88047e-06,3.470859569447072e-05,0.22044941412856914,0.008656135242562028,32518.393214233165,31130.52893062811,1.1470329748895602e-11,1.0237009908956618e-10,1.9523300907025462e-16,7.235606803514095e-16,0
