case_id,source_power_W,Tmax_rise_K,TaIrTe4_volume_average_rise_K,max_abs_grad_a_K_m,max_abs_grad_b_K_m,max_abs_grad_n_K_m,max_abs_grad_t_K_m,max_grad_magnitude_K_m,linear_residual_relative,energy_balance_relative_error
Maxwell_b,3.735675195047275e-05,0.1356193571811639,0.009388746976239131,6056.327677304354,14792.783521030307,9502.313182305754,11607.325224939765,14872.105130890826,1.017629692688597e-09,9.756600080086031e-12
Maxwell_a,2.8365870921873753e-05,0.1344649422886432,0.007131426730332922,6052.010012670475,15789.494335464055,10396.127124461676,12119.38262091615,15839.67968343328,1.0197394597543316e-09,8.755958511189914e-12
analytic_b,3.760968228625351e-05,0.13833218215603374,0.009473877958767477,5294.126535396331,14915.45724379917,8674.26773729468,12479.401267398687,15159.473280275017,1.0197681301148778e-09,3.380755284879215e-11
analytic_a,2.524570211788544e-05,0.09559856273794726,0.006441342143456056,3593.0921910453344,10151.770782063842,5891.000140099217,8505.32498768529,10320.924687388087,1.0126115760395404e-09,2.900935863994719e-11
