metric,original,islands_removed,relative_change
P_Q_raw_W,2.8784756191150704e-14,2.4204139422911635e-14,-0.15913342249003615
mapped_P_Q_at_285uW_W,5.7781576878398574e-05,4.862131063353774e-05,-0.15853264552019117
global_Tmax_at_285uW_K,0.3898242044233401,0.2992779985670692,-0.23227445815021733
Tmax_on_retained_support_at_285uW_K,0.2996864601442808,0.2992779985670692,-0.0013629630681844403
global_max_strict_gradT_K_m,186599.89597722545,163453.94858724068,-0.12404051603978243
max_common_strict_gradT_K_m,163941.899341049,163453.94858724068,-0.0029763639177634916
terminal_current_at_285uW_A,9.001306645066968e-08,8.280553711299624e-08,-0.08007203422653549
terminal_conductance_S,0.013629412337229077,0.013629411781737285,-4.075684099282464e-08
closure,0.0007072820656387887,0.0003721429068192335,-0.47384088343434955
