model,region,method,statistic,b_over_a_100nm,b_over_a_50nm,relative_change,ordering_100nm,ordering_50nm,ordering_preserved
analytic,original_staircase_edge,least_squares_radius_0.2um,p99_abs,1.4768426323923387,1.4768096824671222,2.231155822426185e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,rms_abs,1.4762891822408382,1.4762441179572146,3.0526308674453414e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.2um,mean_abs,1.4742885405747923,1.4743396856959823,3.4690188215230336e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,raw_max_abs,1.478385498500522,1.478518396683047,8.988605270194192e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,p99_abs,1.47865921105185,1.478484714287135,0.00011802405735332389,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,rms_abs,1.4786980411712645,1.4786981290233765,5.941179629920451e-08,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.3um,mean_abs,1.4769825663029563,1.4769321968676015,3.410409459668185e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.4um,raw_max_abs,1.4794851994014964,1.4796299658693768,9.783964316737797e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.4um,p99_abs,1.4794821133004485,1.4795225386360646,2.7323230677761885e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.4um,rms_abs,1.4801591169381951,1.4802443039265158,5.7549276220654775e-05,b>a,b>a,True
analytic,original_staircase_edge,least_squares_radius_0.4um,mean_abs,1.4784628057867721,1.4787166194165393,0.00017164453718476654,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,mask_aware_finite_difference,raw_max_abs,1.4794826190023498,1.479394757901682,5.938989590070517e-05,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,mask_aware_finite_difference,p99_abs,1.4795132085977796,1.4783206155181685,0.000806721537325678,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,mask_aware_finite_difference,rms_abs,1.4820624725344262,1.4815837088738892,0.0003231431728558234,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,mask_aware_finite_difference,mean_abs,1.4811207940339552,1.4805920395958068,0.0003571236532467303,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,raw_max_abs,1.4787601248094788,1.4786677408258306,6.247785158050177e-05,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,p99_abs,1.4790459615097766,1.479411192182025,0.0002468756990473171,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,rms_abs,1.4816227477721904,1.481203694050651,0.00028291431031568607,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.2um,mean_abs,1.4804790532328373,1.4799849916181236,0.0003338288006377644,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,raw_max_abs,1.4796347667591017,1.4796811082733026,3.131858205244445e-05,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,p99_abs,1.480067066294275,1.47933123566176,0.000497407622293433,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,rms_abs,1.4818362398698182,1.4816581754087725,0.00012017917762745645,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.3um,mean_abs,1.4804383789003748,1.4804239428055053,9.75132490910023e-06,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,raw_max_abs,1.4802976089709277,1.4803683016037876,4.775340892086357e-05,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,p99_abs,1.4809779878228793,1.481419945184014,0.0002983336106493615,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,rms_abs,1.4823096755457914,1.4823699284083482,4.064630656771141e-05,b>a,b>a,True
analytic,inside_band_0p1_to_0p3um,least_squares_radius_0.4um,mean_abs,1.4809873543696292,1.4812277774193254,0.0001623133547461952,b>a,b>a,True
