SiO2_source_power_W,Ta_only_actual_current_A,Ta_only_uniform45_current_A,Ta_plus_planar_SiO2_Tmax_rise_K,Ta_plus_planar_SiO2_actual_current_A,Ta_plus_planar_SiO2_uniform45_current_A,Ta_plus_planar_SiO2_volume_average_rise_K,actual_digitized_current_A,current_A,current_per_mapped_TaIrTe4_W_A_W,energy_balance_relative_error,flake_volume_average_temperature_rise_K,kind,linear_residual_relative,mapped_TaIrTe4_power_W,maximum_temperature_rise_K,negative_A,planar_SiO2_actual_current_A,planar_SiO2_uniform45_current_A,polarization,positive_A,scan_distance_um,uniform45_current_A,weighting_control,x_component_A,y_component_A
,,,,,,,,9.84838631803417e-09,0.000981210670187318,,,weighting,,1.0036974339215109e-05,,-1.1327441872105859e-09,,,b,1.0981130505244755e-08,5.0,,uniform_45deg,5.911036552193041e-09,3.937349765841129e-09
,,,,,,,,1.0521645062903614e-08,0.0010482885287247238,,,weighting,,1.0036974339215109e-05,,-3.0257603388979745e-09,,,b,1.3547405401801588e-08,5.0,,uniform_x_equals_b,1.0521645062903614e-08,0.0
,,,,,,,,8.946999042379413e-09,0.0008914039968621727,,,weighting,,1.0036974339215109e-05,,-1.5236526412754606e-09,,,b,1.0470651683654874e-08,5.0,,uniform_y_equals_a,0.0,8.946999042379413e-09
,1.194840872255497e-08,2.1695707813540663e-08,0.3041926966387974,1.232587039585626e-08,2.232911702331543e-08,0.011266948874931074,,,,,,combined,,,,,3.774616733012889e-10,6.334092097747685e-10,a,,-1.0,,,,
,1.3722019660897156e-08,2.0690758404254725e-08,0.2700966105283494,1.4179086790331458e-08,2.1320947193697042e-08,0.0099319519161952,,,,,,combined,,,,,4.570671294343023e-10,6.301887894423171e-10,a,,1.0,,,,
,1.1155378828929697e-08,1.2121080834932035e-08,0.15630674011959206,1.1612445958364e-08,1.2751269624374352e-08,0.011303090706374353,,,,,,combined,,,,,4.570671294343023e-10,6.301887894423171e-10,b,,1.0,,,,
,1.3699611729926189e-08,1.8333506004932046e-08,0.2840811666425128,1.418060555858107e-08,1.8920811086768716e-08,0.008235671328956728,,,,,,combined,,,,,4.809938286548812e-10,5.873050818366679e-10,a,,3.0,,,,
,1.146279724376321e-08,1.1445654995519093e-08,0.15778801656908695,1.194379107241809e-08,1.203296007735576e-08,0.009212531289728862,,,,,,combined,,,,,4.809938286548812e-10,5.873050818366679e-10,b,,3.0,,,,
,1.2291305281839892e-08,1.5158877086327504e-08,0.2503100826950017,1.2747202238254185e-08,1.5673011834022343e-08,0.006396525066194969,,,,,,combined,,,,,4.558969564142925e-10,5.141347476948382e-10,a,,5.0,,,,
,1.0382507995174956e-08,9.84838631803417e-09,0.15263901288949305,1.0838404951589249e-08,1.0362521065729007e-08,0.00701127834544961,,,,,,combined,,,,,4.558969564142925e-10,5.141347476948382e-10,b,,5.0,,,,
6.525632966171028e-06,,,,,,,3.774616733012889e-10,,,5.44553661236796e-12,0.0006005242639738436,planar_SiO2,1.0279837076435732e-10,,0.007580702928629482,,,,polarization-independent planar control,,-1.0,6.334092097747685e-10,,,
6.5256329748022785e-06,,,,,,,4.570671294343023e-10,,,1.3294985634416204e-11,0.0005467547820442567,planar_SiO2,1.0286747604203143e-10,,0.00758253636438384,,,,polarization-independent planar control,,1.0,6.301887894423171e-10,,,
6.525632975264246e-06,,,,,,,4.809938286548812e-10,,,2.1289941456295977e-11,0.00047787909448620815,planar_SiO2,1.0196019724930489e-10,,0.007583388271540076,,,,polarization-independent planar control,,3.0,5.873050818366679e-10,,,
6.5256329748022785e-06,,,,,,,4.558969564142925e-10,,,1.9544508932604525e-11,0.0004023918124826805,planar_SiO2,1.0330249032524416e-10,,0.007583332001530314,,,,polarization-independent planar control,,5.0,5.141347476948382e-10,,,
