center_um,current_A,objective_A2,node_signature,node_count
-2.075000000000007,3.041367499242727e-12,9.249916265449958e-24,734:783:832:881:930:979:1028:1077:1126:1175:1224:1273,12
-2.050000000000007,3.041367499242727e-12,9.249916265449958e-24,734:783:832:881:930:979:1028:1077:1126:1175:1224:1273,12
-2.025000000000007,3.041367499242727e-12,9.249916265449958e-24,734:783:832:881:930:979:1028:1077:1126:1175:1224:1273,12
-2.000000000000007,8.321723666631059e-12,6.925108478376748e-23,734:783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,13
-1.9750000000000072,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.9500000000000073,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.9250000000000074,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.9000000000000075,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.8750000000000075,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.8500000000000076,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.8250000000000077,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.8000000000000078,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.775000000000008,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.750000000000008,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
-1.725000000000008,3.057385386519943e-11,9.347605401705701e-22,783:832:881:930:979:1028:1077:1126:1175:1224:1273:1322,12
