length_um,current_A,objective_A2,node_signature,node_count
2.0,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.025,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.05,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.0749999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.0999999999999996,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.1249999999999996,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.1499999999999995,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.1749999999999994,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.1999999999999993,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.224999999999999,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.249999999999999,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.274999999999999,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.299999999999999,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.324999999999999,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.3499999999999988,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.3749999999999987,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.3999999999999986,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.4249999999999985,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.4499999999999984,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.4749999999999983,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.4999999999999982,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.524999999999998,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.549999999999998,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.574999999999998,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.599999999999998,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.624999999999998,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.6499999999999977,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.6749999999999976,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.6999999999999975,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.7249999999999974,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.7499999999999973,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.7749999999999972,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.799999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.824999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.849999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.874999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.899999999999997,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.9249999999999967,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
2.9499999999999966,1.1337774534399015e-10,1.2854513139286681e-20,1126:1175:1224:1273:1322,5
