density_case,optical_exponent,thermal_electrical_exponent,polarization,current_A,current_nA,P_Q_W,P_six_W,closure_relative,Tmax_K,thermal_energy_balance_relative,thermal_residual_relative,electrical_residual_relative,optical_forward_s,all_gates_pass
eta_0.50_nominal,1,1,Ea,6.360976114104937e-09,6.360976114104937,4.4846525144931735e-05,4.4869241019943546e-05,0.000506268314226981,0.8367814741168383,8.839259291131425e-11,9.912391407397773e-10,7.76825338850409e-11,7.585402544587851,True
eta_0.50_nominal,1,1,Eb,8.310395670821131e-09,8.310395670821132,8.419824577779325e-05,8.43061864949779e-05,0.0012803415938054774,1.3791035218196959,6.787832898643516e-12,7.270680729343222e-10,7.76825338850409e-11,7.360870603471994,True
eta_0.50_nominal,1,3,Ea,6.347457735939588e-09,6.347457735939588,4.4846525144931735e-05,4.4869241019943546e-05,0.000506268314226981,0.8368084961578323,7.106184370919404e-13,6.802587584619833e-10,7.302539305725856e-11,7.585402544587851,True
eta_0.50_nominal,1,3,Eb,8.298427789482286e-09,8.298427789482286,8.419824577779325e-05,8.43061864949779e-05,0.0012803415938054774,1.3791532841135983,5.556812860967729e-12,8.367248679999995e-10,7.302539305725856e-11,7.360870603471994,True
eta_0.50_nominal,3,1,Ea,6.43948470539839e-09,6.439484705398391,4.500430845364005e-05,4.5027110445718605e-05,0.000506405848672977,0.8367724127607405,5.699195510500835e-12,6.933342936963705e-10,7.76825338850409e-11,7.495739031583071,True
eta_0.50_nominal,3,1,Eb,8.386358981214363e-09,8.386358981214363,8.437075281843492e-05,8.447960127800697e-05,0.001288458490871142,1.3814197758365818,8.236817431324984e-12,7.203759139047893e-10,7.76825338850409e-11,7.344703443348408,True
eta_0.50_nominal,3,3,Ea,6.429252123639434e-09,6.429252123639434,4.500430845364005e-05,4.5027110445718605e-05,0.000506405848672977,0.836800320873214,4.805868333839679e-12,8.089516000827995e-10,7.302539305725856e-11,7.495739031583071,True
eta_0.50_nominal,3,3,Eb,8.378101053459849e-09,8.378101053459849,8.437075281843492e-05,8.447960127800697e-05,0.001288458490871142,1.3814727140063137,9.22276823661132e-12,7.558041294742284e-10,7.302539305725856e-11,7.344703443348408,True
eta_0.35,1,1,Ea,3.3773719261910227e-09,3.3773719261910227,2.2248939092558444e-05,2.2281564419158955e-05,0.0014642296199120454,0.5933864913377944,3.6502198439612625e-12,7.011004440162266e-10,8.918844201482667e-11,7.5081661231815815,True
eta_0.35,1,1,Eb,-1.7203957797779026e-10,-0.17203957797779026,4.788674339325156e-05,4.799341997373961e-05,0.0022227334610956644,0.9238465619899777,6.392521349749707e-11,8.483186910523439e-10,8.918844201482667e-11,7.25491513684392,True
eta_0.35,1,3,Ea,3.706080365374907e-09,3.7060803653749073,2.2248939092558444e-05,2.2281564419158955e-05,0.0014642296199120454,0.5965357722658065,1.5746716430242301e-10,7.728236737690112e-10,9.510644526548627e-11,7.5081661231815815,True
eta_0.35,1,3,Eb,1.3241871703363008e-09,1.3241871703363008,4.788674339325156e-05,4.799341997373961e-05,0.0022227334610956644,2.9046328149501193,2.0755002665523533e-10,7.245725273692299e-10,9.510644526548627e-11,7.25491513684392,True
eta_0.35,3,1,Ea,2.8469914730186245e-09,2.8469914730186243,2.3292105431274205e-05,2.3324415387004797e-05,0.0013852418246930206,1.9873788586000243,4.925947774099605e-12,8.003401250146652e-10,8.918844201482667e-11,7.483503568917513,True
eta_0.35,3,1,Eb,-2.0331659604251664e-09,-2.0331659604251664,5.043510361004261e-05,5.0533360494026725e-05,0.0019443963952432686,1.163606131904247,4.3486499883215564e-11,8.070964736276548e-10,8.918844201482667e-11,7.23031359910965,True
eta_0.35,3,3,Ea,3.2787813675037875e-09,3.2787813675037873,2.3292105431274205e-05,2.3324415387004797e-05,0.0013852418246930206,2.0275787942357657,1.5998216918022477e-10,7.613716004382384e-10,9.510644526548627e-11,7.483503568917513,True
eta_0.35,3,3,Eb,-2.8172867431747385e-10,-0.28172867431747384,5.043510361004261e-05,5.0533360494026725e-05,0.0019443963952432686,1.1836798693245147,3.5277960509401176e-10,9.722462574059553e-10,9.510644526548627e-11,7.23031359910965,True
eta_0.65,1,1,Ea,2.0860293513254786e-09,2.086029351325479,5.408656077717106e-05,5.410524696150571e-05,0.0003453673235784443,0.8614029077626894,1.2930719828355685e-12,7.527301826460808e-10,9.254928228219592e-11,7.487085729837418,True
eta_0.65,1,1,Eb,-1.803267227838237e-09,-1.8032672278382371,0.00010575708006266392,0.00010582405959547062,0.0006329329366378095,1.5877175193555162,1.7282384014062465e-11,9.919095608951474e-10,9.254928228219592e-11,7.371297314763069,True
eta_0.65,1,3,Ea,2.0728184472093207e-09,2.0728184472093205,5.408656077717106e-05,5.410524696150571e-05,0.0003453673235784443,0.8614942446598254,7.833853787689412e-12,9.235702333573478e-10,7.699149351378616e-11,7.487085729837418,True
eta_0.65,1,3,Eb,-1.8001060638231785e-09,-1.8001060638231785,0.00010575708006266392,0.00010582405959547062,0.0006329329366378095,2.4034086487130057,1.938964488418432e-11,5.043204369549353e-10,7.699149351378616e-11,7.371297314763069,True
eta_0.65,3,1,Ea,2.018108388148429e-09,2.0181083881484287,5.4269180661777725e-05,5.428789036513034e-05,0.0003446386151088007,0.8617301973079049,3.188400642042057e-12,8.556909496694085e-10,9.254928228219592e-11,7.424978688359261,True
eta_0.65,3,1,Eb,-1.8815557665141065e-09,-1.8815557665141065,0.00010596001740563234,0.00010602497040137563,0.0006126197960480551,1.481878939528449,1.587868358310632e-11,9.883415661403902e-10,9.254928228219592e-11,7.330532945692539,True
eta_0.65,3,3,Ea,2.005176396687299e-09,2.0051763966872986,5.4269180661777725e-05,5.428789036513034e-05,0.0003446386151088007,0.8618222329806285,1.5931639503404352e-11,7.63796749506594e-10,7.699149351378616e-11,7.424978688359261,True
eta_0.65,3,3,Eb,-1.882477543988707e-09,-1.8824775439887071,0.00010596001740563234,0.00010602497040137563,0.0006126197960480551,1.482032813410425,2.1230114718108925e-11,5.236522256040881e-10,7.699149351378616e-11,7.330532945692539,True
