family,from_case,to_case,Tmax_relative_change,flake_average_relative_change,flake_probe_3d_NRMSE
lateral_domain_um,domain_L4,baseline_L8um_Si5um,0.0019550325985954204,0.00268868608949523,0.002056035857567417
lateral_domain_um,baseline_L8um_Si5um,domain_L16,0.0006089773943637372,0.0008408051890084228,0.0006433536420966885
lateral_domain_um,domain_L16,domain_L32,4.8996878697628395e-05,6.766335358896687e-05,5.177509243718818e-05
Si_depth_um,depth_D2_L32,depth_D5_L32,0.001699555392928094,0.002363235781751047,0.0018107536860335384
Si_depth_um,depth_D5_L32,depth_D10_L32,0.0005895650893817756,0.0008165947283273786,0.0006253533069721653
Si_depth_um,depth_D10_L32,final_native,0.00017833827805854453,0.00024685948618043775,0.00018903693112946266
thermal_mesh,mesh_coarse,final_native,0.0026646392731875844,0.003321891008194496,0.0023307553407135016
thermal_mesh,final_native,mesh_refined,0.0014069423315247367,0.0009338868231933798,0.0006665902254473781
