case,P_Q_W,z0_power_fraction,slab_power_fraction,mapped_Q_W,Tmax_K,TaIrTe4_Tavg_K,PTE_uniform45_A,energy_balance,residual
50nm,2.2554317731961642e-11,0.028732338801266324,0.09420266369603342,2.2554317731961645e-11,1.0600410713399818e-07,5.670666933262898e-09,2.007141629870792e-13,8.111345155366059e-11,9.92701546051996e-10
25nm,2.2547341310294407e-11,0.028594199215152428,0.09415554958308213,2.2547341310294407e-11,1.0582443339572889e-07,5.669132726601858e-09,1.9986266981410813e-13,1.1510326977450191e-10,9.950905200024087e-10
