case_id,status,passed,G_W_m2K,perfect_contact,mesh_m,face_resistance_formula_m2K_W,analytic_heat_flux_W_m2,numerical_transmitted_heat_flux_W_m2,heat_flux_relative_error,lower_material_heat_flux_W_m2,interface_heat_flux_W_m2,upper_material_heat_flux_W_m2,material_flux_relative_mismatch,all_flux_paths_relative_spread,analytic_interface_temperature_jump_K,numerical_interface_temperature_jump_K,interface_temperature_jump_relative_error,raw_adjacent_cell_temperature_difference_K,temperature_profile_max_relative_error,energy_balance_relative_error,linear_residual_relative
G_7p37e6_mesh_100nm,PASSED,True,7370000.0,False,1e-07,1.48185210312076e-07,25927880.386983287,25927880.386975594,2.966970053666968e-13,25927880.38698409,25927880.386983287,25927880.386980936,1.2169605982841003e-13,1.9731428448920368e-12,3.518029903254177,3.518029903254444,7.586564709782807e-14,3.842128408091469,2.842170943040401e-14,1.9731960056337735e-12,5.034862903022863e-16
G_7p37e6_mesh_50nm,PASSED,True,7370000.0,False,5e-08,1.4193521031207598e-07,25927880.386983287,25927880.386997454,5.464109982612823e-13,25927880.386958994,25927880.386998646,25927880.38703738,3.0232921970569602e-12,4.384793806186879e-12,3.518029903254177,3.5180299032570588,8.191217704123234e-13,3.6800791556750028,5.343281372915954e-13,4.384807415157717e-12,1.400510450431882e-15
G_7p37e6_mesh_25nm,PASSED,True,7370000.0,False,2.5e-08,1.3881021031207598e-07,25927880.386983287,25927880.38712251,5.369569241919706e-12,25927880.38694945,25927880.38695504,25927880.387192864,9.38812543707566e-12,2.3285326961014782e-11,3.518029903254177,3.5180299032480207,1.749959177566041e-12,3.599054529459579,1.0857093002414332e-12,2.280060653268376e-11,2.3754922971552657e-15
G_1p1e9_mesh_100nm,PASSED,True,1100000000.0,False,1e-07,1.3409090909090909e-08,39855072.463768125,39855072.463763654,1.1216510425914415e-13,39855072.46376838,39855072.46375896,39855072.46377059,5.5521726608282583e-14,4.753931002183926e-13,0.03623188405797102,0.036231884058281594,8.5717599684898e-12,0.5344202898549497,1.1368683772161604e-14,4.277768953458427e-13,5.913432195448826e-16
G_1p1e9_mesh_50nm,PASSED,True,1100000000.0,False,5e-08,7.159090909090909e-09,39855072.463768125,39855072.463805094,9.276054122231222e-13,39855072.46375223,39855072.46378126,39855072.46382942,1.936717466872759e-12,5.134544589297993e-12,0.03623188405797102,0.03623188405885003,2.4260543574072808e-11,0.28532608695661565,3.865352482534945e-13,5.1345129024227564e-12,1.1342375460204148e-15
G_1p1e9_mesh_25nm,PASSED,True,1100000000.0,False,2.5e-08,4.034090909090909e-09,39855072.463768125,39855072.463832125,1.6058304093100804e-12,39855072.46372425,39855072.4637126,39855072.46394753,5.60227307405439e-12,9.127996184594493e-12,0.03623188405797102,0.03623188405572364,6.202776625663374e-11,0.1607789855070223,9.322320693172514e-13,9.128004046207722e-12,2.280318521664227e-15
perfect_contact_mesh_100nm,PASSED,True,,True,1e-07,1.25e-08,40000000.0,39999999.99999313,1.7173588275909425e-13,40000000.00000089,40000000.0,39999999.99999773,7.897615432740614e-14,9.94838774204425e-13,0.0,2.2737367544323206e-13,2.2737367544323207e-14,0.5,2.842170943040401e-14,9.947554932553655e-13,9.20797512295587e-16
perfect_contact_mesh_50nm,PASSED,True,,True,5e-08,6.25e-09,40000000.0,40000000.00000706,1.7657876014709473e-13,39999999.999980375,40000000.00000004,40000000.00008209,2.5428831577296534e-12,2.9606744647020835e-12,0.0,6.821210263296962e-13,6.821210263296962e-14,0.25,4.774847184307873e-13,1.1368876218044622e-12,1.607165415608403e-15
perfect_contact_mesh_25nm,PASSED,True,,True,2.5e-08,3.125e-09,40000000.0,40000000.0001729,4.322454333305359e-12,39999999.99994905,40000000.000018224,40000000.00019682,6.194226443740773e-12,2.160035073747835e-11,0.0,-2.2168933355715126e-12,2.2168933355715125e-13,0.12500000000005684,1.0345502232667058e-12,2.1600356594098965e-11,2.8885130320775105e-15
