polarization,status,runtime_s,P_Q_W,P_closed_W,closure_relative,Q_window_change_relative,Q_field_change_relative,P_Au_W,P_TaIrTe4_W,raw_sha256
Ea,VALIDATED_FDTDX_4UM_RHO0P5_FORWARD,6.612570878118277,1.6097382462897893e-13,1.6027673979679413e-13,0.004349257621964325,0.00079085113573138,0.0010682766822858994,4.2339661048481836e-14,1.186341635804971e-13,1aa512023896fd611f48e61b97abe97174c55def1fc8a2cb3134556adc4a7711
Eb,VALIDATED_FDTDX_4UM_RHO0P5_FORWARD,6.052778836339712,3.8747175478318276e-13,3.8688724533081364e-13,0.001510800522434703,0.00015361959679266422,0.0008055425684114784,1.0371965083137662e-13,2.8375210395180613e-13,2a4db3b25ad909d3b8590f5a9308f49f6ed77d2ce12c59779addd805fd39ac7e
