evaluation_index,tag,global_iteration,stage_iteration,role,beta,constraint_contract,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,solid_constraint_cap,void_constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance
10,run005_b002_s010_g010_accepted_mma,10,10,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.3700252432865843e-20,2.4379927486251593e-07,0.08855860748921401,0.48813034737404765,0.011980482679012545,0.01312991519392076,1.0,0.9022611340796854,0.0004320627740239492,0.00015019418003911955,0.0006,0.0002,True,44,8,4.021090693805188e-06,8.019728902319854e-11,3.7313156999952285e-13
11,run005_b002_s011_g011_accepted_mma,11,11,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.645104031401684e-20,2.636994252267065e-07,0.08162514172945237,0.4861930850220624,0.011878408237160205,0.01312991518491985,1.0,0.8888366758817109,0.0004206909813489463,0.0001996396748837579,0.0006,0.0002,True,40,8,6.1522288011673414e-06,8.167803686710128e-11,1.8066188159797771e-12
12,run005_b002_s012_g012_accepted_mma,12,12,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.782877480488147e-20,2.736664327586234e-07,0.03779684966453046,0.48520026822121354,0.005894900654884775,0.006565121692970577,1.0,0.8817940260017391,0.00041742286102724964,0.0002104169097668088,0.0006,0.0002,False,38,4,7.274252922867112e-06,8.238024731204002e-11,1.7256952916480243e-12
13,run005_b002_s013_g013_accepted_mma,13,13,accepted_mma,2.0,soft_disk_opening_500nm_from_iteration_zero_v5,3.851798661357307e-20,2.786524292143006e-07,0.018219247444478795,0.4846967027917099,0.0029354409993712707,0.003282581367779147,1.0,0.8781946509625362,0.0004162898202026722,0.00020460523468276187,0.0006,0.0002,False,41,10,7.830610535676384e-06,8.288005113483892e-11,1.692489708979266e-12
14,run005_b004_s000_g013_stage_baseline,13,0,stage_baseline,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.802936444758554e-20,4.19804480730144e-07,0.0,0.4791523462138849,0.0,0.0,1.0,0.7465705274524991,0.0004160035116797402,0.00022110144347454278,0.000489415896093812,0.000260119345264168,True,41,10,1.7750246504043056e-05,9.905698003838735e-11,2.9330253717353457e-12
15,run005_b004_s001_g014_accepted_mma,14,1,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,5.985912905806361e-20,4.3304163039518915e-07,0.0315317017150996,0.47735703986250216,0.0076301172446436305,0.010372801448374047,1.0,0.7344525983971072,0.00041519484375212516,0.0002500747738334445,0.000489415896093812,0.000260119345264168,True,41,21,1.9904973338865237e-05,9.44812064028395e-11,2.44884722497019e-12
16,run005_b004_s002_g015_accepted_mma,15,2,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.166238125455129e-20,4.460869800931988e-07,0.030124932067396432,0.47556812830661205,0.007510006137218343,0.010372801441544177,1.0,0.7221762065681441,0.0004154968648793708,0.0002557716648179315,0.000489415896093812,0.000260119345264168,True,42,21,2.2174254850778987e-05,9.501916606845692e-11,2.442785185752896e-12
17,run005_b004_s003_g016_accepted_mma,16,3,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.343916081670806e-20,4.589408176039798e-07,0.028814643969423858,0.4737690688426833,0.007405153216214827,0.010372801449522295,1.0,0.709772533596822,0.0004160623080705072,0.00023518109414192122,0.000489415896093812,0.000260119345264168,True,44,48,2.4495206379545566e-05,9.55312455663608e-11,2.4330118255584893e-12
18,run005_b004_s004_g017_accepted_mma,17,4,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.518866147017384e-20,4.715973100601161e-07,0.02757761343219111,0.4719710106112071,0.007298880061501466,0.010372801449470614,1.0,0.6972585194465989,0.0004157832271991786,0.00021824466609597526,0.000489415896093812,0.000260119345264168,True,39,64,2.7289419385939167e-05,9.600241769850994e-11,2.4229455891149972e-12
19,run005_b004_s005_g018_accepted_mma,18,5,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.690922639515984e-20,4.840444714545625e-07,0.0263936225439023,0.4701797148202171,0.007184587897411733,0.010372801449457403,1.0,0.6846474756793485,0.0004154176571757331,0.0001887414258832042,0.000489415896093812,0.000260119345264168,True,41,4,2.9797776240218444e-05,9.64310783179148e-11,2.4172346671495795e-12
20,run005_b004_s006_g019_accepted_mma,19,6,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,6.859995957336919e-20,4.962758196812435e-07,0.025269058832395278,0.46839654296686023,0.007068288482473043,0.010372801449455404,1.0,0.6719618808684015,0.00041528809542072046,0.00015411125553768665,0.000489415896093812,0.000260119345264168,True,43,2,3.23249683436983e-05,9.681940253344427e-11,2.421580600557742e-12
21,run005_b004_s007_g020_accepted_mma,20,7,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.026021903247272e-20,5.08286710490427e-07,0.024202047194034394,0.46662264792788244,0.0069532948620103785,0.010372801430492296,1.0,0.6592279903740643,0.0004146154789087781,0.00012599717298492286,0.000489415896093812,0.000260119345264168,True,42,4,3.4974353583590244e-05,9.716388329214297e-11,2.4356827734212866e-12
22,run005_b004_s008_g021_accepted_mma,21,8,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.188938499122243e-20,5.200726601703326e-07,0.023187601478964082,0.46485934025376535,0.006837285767336995,0.010372801421036748,1.0,0.6464585407482978,0.0004140725208567018,0.00010748820178161554,0.000489415896093812,0.000260119345264168,True,41,5,3.7624011105956396e-05,9.746823478149728e-11,4.050216013221174e-12
23,run005_b004_s009_g022_accepted_mma,22,9,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.348697838124669e-20,5.316302029747663e-07,0.02222293861909279,0.46311161131598105,0.0067217326149678035,0.01037280144847702,1.0,0.6336696799671884,0.0004135622869379607,9.676571668325518e-05,0.000489415896093812,0.000260119345264168,True,37,5,4.0344336692221147e-05,9.774265989099259e-11,4.064483614332271e-12
24,run005_b004_s010_g023_accepted_mma,23,10,accepted_mma,4.0,soft_disk_opening_500nm_from_iteration_zero_v5,7.50525853626315e-20,5.429563450427427e-07,0.021304549674944013,0.4613767225038803,0.006606937613136838,0.0103728014378901,1.0,0.6208820121336199,0.0004129193070238026,9.128865937857947e-05,0.000489415896093812,0.000260119345264168,True,35,3,4.409578274464567e-05,9.799082387266738e-11,4.0755361600200746e-12
25,run005_b008_s000_g023_stage_baseline,23,0,stage_baseline,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.0363364327829325e-19,7.49721597277067e-07,0.0,0.45199674612777085,0.0,0.0,1.0,0.29288568960815126,0.0004146047373274355,9.357091733983377e-05,0.0004711417469629949,0.00010633058788617474,True,35,3,9.028360672719202e-05,8.279625584542206e-11,6.646217010567433e-12
26,run005_b008_s001_g024_accepted_mma,24,1,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.0574909482416374e-19,7.650255049827267e-07,0.020412787575071045,0.44730067587214173,0.014110664549720485,0.04000550621738869,1.0,0.2746396913950019,0.0004167770049766038,9.404511609759436e-05,0.0004711417469629949,0.00010633058788617474,True,42,5,9.879915784884122e-05,8.250138546415798e-11,5.6606529185011055e-12
27,run005_b008_s002_g025_accepted_mma,25,2,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.0764626899398397e-19,7.787503187007092e-07,0.017940334836669757,0.44280798122243364,0.013592556132427339,0.040005511977991015,1.0,0.25804378170448566,0.0004080476383710096,9.578257773288802e-05,0.0004711417469629949,0.00010633058788617474,True,37,2,0.00010730963822977011,8.260186682614858e-11,6.432116491576163e-12
28,run005_b008_s003_g026_accepted_mma,26,3,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.0933657489019752e-19,7.909785758217391e-07,0.015702410422678045,0.43847890189704436,0.013054201832015269,0.04000550882982751,0.9795441640491918,0.24303226138227166,0.0004115819155531244,9.601633672749656e-05,0.0004711417469629949,0.00010633058788617474,True,37,5,0.00011560062146062254,8.378984727711098e-11,6.110582882612265e-12
29,run005_b008_s004_g027_accepted_mma,27,4,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1083180894273555e-19,8.017956157974694e-07,0.013675515755268878,0.4343298391121602,0.01259252853593426,0.04000551197337965,0.9267083066794126,0.22940970384627116,0.00041154137104083534,9.785911462069979e-05,0.0004711417469629949,0.00010633058788617474,True,38,4,0.00012367268572261556,8.350034068630714e-11,6.233834788516128e-12
30,run005_b008_s005_g028_accepted_mma,28,5,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1214273448308711e-19,8.112793042883239e-07,0.011828062294182045,0.4303840294321484,0.012149668506923833,0.04000551199769509,0.8766899783654019,0.2169962612184258,0.00040495674347430246,9.993613873895766e-05,0.0004711417469629949,0.00010633058788617474,True,37,3,0.0001314440306895007,8.317969561636406e-11,6.322385423898533e-12
31,run005_b008_s006_g029_accepted_mma,29,6,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1328199873398488e-19,8.19521135675165e-07,0.01015905538730717,0.42666336182145237,0.011738636735465746,0.04000551088722171,0.8220572274651582,0.20557681111923704,0.0004059458666676857,0.00010179960309797634,0.0004711417469629949,0.00010633058788617474,True,36,3,0.00013923008117663088,8.420228697466852e-11,6.568530134495379e-12
32,run005_b008_s007_g030_accepted_mma,30,7,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1426179558076553e-19,8.266093247394329e-07,0.008649183963300949,0.4231975279976754,0.011216556141771878,0.04000551197405322,0.766849470635166,0.1948816885526048,0.00040432660277496253,0.00010232846957301924,0.0004711417469629949,0.00010633058788617474,True,35,4,0.00014627780399949033,8.342937089036289e-11,5.672359220799801e-12
33,run005_b008_s008_g031_accepted_mma,31,8,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1509722665359676e-19,8.326531218937602e-07,0.007311552112278092,0.42004190653686213,0.010768562576247849,0.04000550861380997,0.7114907747486146,0.18472767470126533,0.00040740430045884546,0.00010441917661390859,0.0004711417469629949,0.00010633058788617474,True,35,6,0.0001529682723137517,8.114841019712235e-11,6.437349024266918e-12
34,run005_b008_s009_g032_accepted_mma,32,9,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1580440964497192e-19,8.37769128096854e-07,0.006144222688384378,0.41731548922728734,0.010206224507911013,0.04000550745176379,0.6538033048465812,0.17508838009988312,0.0004085414173515299,0.00010999107847448448,0.0004711417469629949,0.00010633058788617474,False,37,4,0.0001590958988689945,8.050879463059221e-11,6.588054872599106e-12
35,run005_b008_s010_g033_accepted_mma,33,10,accepted_mma,8.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1640091637854117e-19,8.420844639948417e-07,0.005150984624834314,0.41523644203656696,0.009401540425856858,0.04000551063406127,0.5903729632211833,0.16573539372136237,0.00041301421872333275,0.00011683017986000569,0.0004711417469629949,0.00010633058788617474,False,35,2,0.0001645647341836623,8.040062961774556e-11,6.613738899541126e-12
36,run005_b016_s000_g033_stage_baseline,33,0,stage_baseline,16.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.1973225516125765e-19,8.66184520253043e-07,0.0,0.41241762792938214,0.0,0.0,0.17447117423398428,0.06802490678007074,0.0004037680252398992,0.0001126010221808324,0.0004486311391554435,0.00012511224686759156,True,35,2,0.00021267255981421998,9.904417579220877e-11,1.6726700856966362e-12
37,run005_b016_s001_g034_accepted_mma,34,1,accepted_mma,16.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.199157039944797e-19,8.675116525231353e-07,0.0015321588403641529,0.4128901873285061,0.007524336532499686,0.039978687883195585,0.17619619202323025,0.06940442820764584,0.0004194977910389854,0.00013235831207629147,0.0004486311391554435,0.00012511224686759156,False,36,4,0.0002109313661783346,7.279529664289009e-11,4.633390589263599e-12
38,run005_b016_s002_g035_accepted_mma,35,2,accepted_mma,16.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.2000143047789062e-19,8.681318275361779e-07,0.0007148895478682247,0.41316696991787255,0.0037013824008660153,0.01999733774619833,0.17613869143025537,0.07011328632177122,0.00041119449925591404,0.0001298651784941014,0.0004486311391554435,0.00012511224686759156,False,36,3,0.00020994163429904615,8.195727332347477e-11,6.8414155356624506e-12
39,run005_b016_s003_g036_accepted_mma,36,3,accepted_mma,16.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.200838248307515e-19,8.687278967650439e-07,0.0006866114223200808,0.41342163170713897,0.003740791288061398,0.019997338137102527,0.17609556598552423,0.07083838922924268,0.0004128811835290459,0.00012954831424358965,0.0004486311391554435,0.00012511224686759156,False,39,18,0.0002089730717716739,8.83799408055791e-11,5.929268819848973e-12
40,run005_b032_s000_g036_stage_baseline,36,0,stage_baseline,32.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.2009582400336854e-19,8.688147029273661e-07,0.0,0.4137640019125737,0.0,0.0,0.08144958994889635,0.034544580081532314,0.0004221332139131337,0.00014065991475967305,0.0003837574671937579,0.00012787264978152095,False,39,18,0.00023084501676402008,7.167323938552131e-11,1.2673823063762873e-11
41,run005_b032_s001_g037_accepted_mma,37,1,accepted_mma,32.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.2039548263050774e-19,8.709825370155045e-07,0.002495162755457674,0.4149774168166507,0.021694073873705918,0.15864849437258188,0.08473431132258552,0.03631354923845251,0.000413665281572028,0.00013315849315518002,0.0003837574671937579,0.00012787264978152095,False,36,5,0.00022893246734423088,7.139472201716878e-11,1.282877473123681e-11
42,run005_b032_s002_g038_accepted_mma,38,2,accepted_mma,32.0,soft_disk_opening_500nm_from_iteration_zero_v5,1.205331443269817e-19,8.71978429311669e-07,0.0011434124725129926,0.41564133609401754,0.01057776689218475,0.07982976906095529,0.08635870307412545,0.03743162812004364,0.0003968320160773435,0.000133184773515069,0.0003837574671937579,0.00012787264978152095,False,35,6,0.00022777430017992096,7.130804076282925e-11,1.2946962454538356e-11
