total_periods,window_periods,time_steps_total,dt_s,compile_s,forward_s,P_target_previous_W,P_target_late_W,P_discrete_ADE_late_W,P_closed_td_W,P_closed_phasor_W,target_Q_window_power_change_relative,target_Q_window_spatial_NRMSE,target_Q_vs_discrete_ADE_relative,target_Q_vs_closed_td_relative,discrete_ADE_Q_vs_closed_td_relative,target_Q_vs_closed_phasor_relative,closed_td_vs_phasor_relative,all_0p5pct_gates_pass
24,4,76848,4.166939126386172e-18,13.089180197566748,182.48778531327844,3.534029154527418e-13,3.5391028619756315e-13,3.5000006000714356e-13,3.4727922311802826e-13,3.4833776750408074e-13,0.0014356722104891105,0.016273486458074672,0.011172072914329733,0.01909432709506268,0.007834724072135394,0.015997457678536463,0.0030388447214242382,False
32,4,102464,4.166939126386172e-18,12.090926598757505,240.2606767527759,3.88411721205996e-13,4.726715997345871e-13,4.673464324721919e-13,-6.625158792744857e-13,2.907340540283754e-13,0.21693443819606933,0.45613214773900757,0.011394475045472977,1.7134494651693555,1.705411669504402,0.6257868425982691,3.278769446147594,False
40,4,128080,4.166939126386172e-18,12.580189183354378,296.76001220196486,7.070156587600684e-13,6.7450355176810506e-12,6.670747835872364e-12,-9.472568821083809e-10,-9.561659362926256e-12,8.540150114228283,0.9713053293320268,0.011136334881255695,1.0071205980606528,1.0070421740521165,1.7054252051515038,98.06825229323812,False
40,8,128080,4.166939126386172e-18,12.864031329751015,308.90155481919646,4.2071541632038246e-13,9.61650815809763e-13,9.508378293975286e-13,-4.884706817551081e-10,-3.691488666064638e-12,1.285751314321813,0.9889108591979539,0.011372061647027394,1.0019686971024637,1.001946560694249,1.2605048810389399,131.3234949210474,False
