order,exact_bad_before,exact_bad_after,changed_node_count,changed_node_fraction,solid_fraction,objective_A,reference_continuous_objective_A,relative_objective_change,equivalent_current_at_285uW_A,optical_closure,thermal_residual,thermal_energy_balance,electrical_residual,objective_gate_passed,solver_status
solid_first,193,0,166,0.003426849156706096,0.706777316735823,4.3661615082695034e-17,4.4528073608614785e-17,-0.019458702245590036,8.99736129108799e-08,0.0007052706615643848,9.036924864613958e-11,1.4154141532703394e-12,6.872697452345035e-11,False,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
void_first,193,0,168,0.003468136495943519,0.7073553394851468,4.368076075454504e-17,4.4528073608614785e-17,-0.019028733681975833,9.001306645066968e-08,0.0007072820656387887,8.861225132672545e-11,1.403420053407044e-12,5.711830708076488e-11,False,FAILED_EXACT_BINARY_OBJECTIVE_VALIDATION
