polarization,core_step_nm,P_Q_unit_W,P_six_unit_W,six_face_closure_relative,P_abs_285uW_W,Tmax_flake_K,Tavg_flake_K,max_edge_normal_gradient_K_m,p99_edge_normal_gradient_K_m,mapping_error,energy_balance_error,linear_residual,PTE_evaluated
a,200,1.1746885925763195e-11,1.1776326463225359e-11,0.0024999763342244056,3.0063514177443773e-05,0.2359188459029535,0.028639987396543554,48363.08864333956,48325.22451338568,2.2539825311302213e-16,1.2981248892411731e-11,9.824929226184056e-11,False
b,200,1.4549368085023664e-11,1.4489681209613729e-11,0.004119267673765869,3.723583346596002e-05,0.22761549469557588,0.03541835718542092,36454.51392969908,36393.253316491035,0.0,8.558446801055475e-12,9.885450008357948e-11,False
a,100,1.1746885925763195e-11,1.1776326463225359e-11,0.0024999763342244056,3.0063514177443773e-05,0.23972081687217806,0.034194043891305,35971.863491173164,35903.09837328531,2.2539825311302213e-16,9.180358150166838e-12,1.0041447482749503e-10,False
b,100,1.4549368085023664e-11,1.4489681209613729e-11,0.004119267673765869,3.723583346596002e-05,0.22810456079723787,0.04228986952264621,29022.17532609516,29006.9474084718,0.0,8.786106690658069e-13,1.00641646893817e-10,False
