polarization,P_Q_unit_W,P_six_unit_W,closure,auto_shutoff,P_Q_at_285uW_W,Qx_unit_W,Qy_unit_W,Qz_unit_W,TaIrTe4_fraction,Ti_fraction,Au_fraction,conformal_fraction
a,3.1896570934616587e-11,3.1972162831501553e-11,0.002364303512507055,9.46101e-06,3.694596918264991e-05,6.437590084773525e-13,3.096845840578203e-11,2.843535203572047e-13,0.9883704168900419,0.005521540320794706,1.7970865202930366e-10,0.006108042609454852
b,4.3616288326245206e-11,4.364555404615292e-11,0.0006705315248551616,9.96851e-06,5.0472142838388186e-05,4.345366091032595e-11,1.339345335685451e-13,2.869288235071306e-14,0.9992809166829111,0.00013893909005983278,1.5991868772462299e-10,0.0005801440671104288
