scenario,polarization,status,P_Q_thermal_W,Tmax_rise_K,TaIrTe4_average_rise_K,current_A,mapping_error,residual,energy_balance_error,thermal_raw_path
isolated,a,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,3.67419540543747e-05,0.23039913445368806,0.02485318908289879,8.072622429764236e-09,1.8442850285007043e-16,1.0362805775793799e-10,7.1451290574174305e-12,/home/seunghyun/tairte4/artifacts/paper_ir_device_a_end_to_end/thermal_a_isolated_100nm_20260731_v3/thermal_pte_fields.npz
isolated,b,COMPLETED_DEVICE_A_METAL_ISOLATED_LOWER_BOUND_DIAGNOSTIC,5.0465130243434614e-05,0.1444754661049431,0.03418416877239504,4.990319469064974e-09,0.0,1.0692680121363809e-10,3.3971866850888437e-14,/home/seunghyun/tairte4/artifacts/paper_ir_device_a_end_to_end/thermal_b_isolated_100nm_20260731/thermal_pte_fields.npz
perfect,a,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,3.694596918264992e-05,0.23040921186082441,0.024986578446378784,8.196197440488383e-09,1.8341009122090054e-16,1.0392287405090355e-10,1.0379360472281984e-11,/home/seunghyun/tairte4/artifacts/paper_ir_device_a_end_to_end/thermal_a_perfect_100nm_20260731/thermal_pte_fields.npz
perfect,b,COMPLETED_DEVICE_A_PERFECT_TO_FLAKE_UPPER_BOUND_DIAGNOSTIC,5.047214283838818e-05,0.14447586597206497,0.034188536978839515,5.001980469742066e-09,1.3425749724421256e-16,1.0616242451281857e-10,1.9010861609780495e-13,/home/seunghyun/tairte4/artifacts/paper_ir_device_a_end_to_end/thermal_b_perfect_100nm_20260731/thermal_pte_fields.npz
