core_step_nm,top_contact_cells,bottom_contact_cells,psi_min,psi_max,linear_residual_relative,grad_psi_p99_m_inv,grad_psi_raw_max_m_inv
100,242,300,0.0015302981584138012,0.9978552620801369,2.6390917526988964e-15,57952.45581451816,121398.35350736277
50,484,600,0.0006459805847232649,0.9989088160622732,3.702318035134223e-15,58092.52661140765,149261.47154934623
