stage,case,P_Q_W,P_six_W,closure,absorbed_fraction,Tmax_K,PTE_A
optical,center_a,1.9320668872059263e-11,1.9318679919950108e-11,0.00010295486634679288,0.173497993845748,,
optical,center_b,2.7967201560183873e-11,2.797729477031831e-11,0.00036076433469702944,0.2511432801340022,,
optical,edge_a,1.1174072582877223e-11,1.1167539931793172e-11,0.0005849677837688494,0.10034030526543652,,
optical,edge_b,1.3901847469423368e-11,1.3910695072743576e-11,0.000636028844995968,0.12483559768502303,,
expanded,edge_a,2.8596987000649422e-05,,2.2194245975172554e-11,,0.2814221437000731,2.4047863399405294e-08
expanded,edge_b,3.5578145340231567e-05,,1.9959974407317637e-11,,0.2413453822916531,2.0218345295764867e-08
paper_reduced,edge_a,2.8596987000649422e-05,,9.637999442623525e-12,,0.16642654596127213,1.0529311029168213e-08
paper_reduced,edge_b,3.5578145340231567e-05,,8.451915344750164e-12,,0.11041544559863813,8.578414638521254e-09
