label,geometry,case_dir,A_Q_lumerical_internal,A_Q_python_exported,A_local_flux,A_Q_minus_A_local_flux,signed_mismatch,absolute_mismatch,internal_minus_python,global_flux_absorptance,summary_path,flake_dz_nm
10.0,circular disk,LOCAL_OUTPUT/20260724T020000Z_pabs_diagnostics/mesh_sweep_z/disk_dz10nm/fdtd_qon,0.5081520840808974,0.5081520840808973,0.45393035859038444,0.05422172549051285,0.11944943638246765,0.11944943638246765,1.1102230246251565e-16,0.45424152010692753,LOCAL_OUTPUT/20260724T020000Z_pabs_diagnostics/mesh_sweep_z/disk_dz10nm/fdtd_qon/fdtd_absorption_summary.json,10.0
5.0,circular disk,LOCAL_OUTPUT/20260724T000000Z_recheck/fdtd_qon,0.5080194475039502,0.5080194475039503,0.45370935742204804,0.054310090081902296,0.11970238037515753,0.11970238037515753,-1.1102230246251565e-16,0.45402283752494865,LOCAL_OUTPUT/20260724T000000Z_recheck/fdtd_qon/fdtd_absorption_summary.json,5.0
2.5,circular disk,LOCAL_OUTPUT/20260724T020000Z_pabs_diagnostics/mesh_sweep_z/disk_dz2p5nm/fdtd_qon,0.50748325889481,0.5074832588948102,0.4536740005275912,0.05380925836721895,0.11860776307357825,0.11860776307357825,-1.1102230246251565e-16,0.45401624908933946,LOCAL_OUTPUT/20260724T020000Z_pabs_diagnostics/mesh_sweep_z/disk_dz2p5nm/fdtd_qon/fdtd_absorption_summary.json,2.5
