scenario,step,adjoint_directional_A,finite_difference_directional_A,relative_error,worst_forward_residual,worst_energy_balance_error,clipping
grown_grown,0.01,8.702728089267986e-21,8.7030381984316e-21,3.563228800592908e-05,8.246975935395173e-11,1.7431510703490737e-12,False
grown_grown,0.005,8.702728089267986e-21,8.702805618928173e-21,8.908582310305488e-06,7.935721205450502e-11,1.7128612817622528e-12,False
grown_grown,0.0025,8.702728089267986e-21,8.70274748920096e-21,2.229173372779794e-06,7.77557125225388e-11,1.6876489721870954e-12,False
evaporated_evaporated,0.005,2.5003329448046968e-17,2.5003609264145078e-17,1.119102826931664e-05,7.022822124661558e-11,1.0969105520025058e-11,False
