source_range_um,case,polarization_angle_deg,pulse_type,pulselength_s,pulse_offset_s,sourcenorm_magnitude_at_4um,R,T,A_global,A_local_flux,A_six_face,A_Qx,A_Qy,A_Qz,A_Q,delta_closure,A_TMM,delta_TMM,dt_s,eps_x_fitted,eps_y_fitted,eps_z_fitted,solver_converged
3.6-4.4,flat_y,90.0,standard,2.3821709954638088e-14,6.754228193830523e-14,1.7888834602145107e-14,0.21341349160740003,0.7864474107087069,0.00013909768389308574,-4.3726141307764976e-07,-4.3726141307764976e-07,9.674322337622194e-34,0.9762536719301304,0.0,0.9762536719301316,2232655.5236608074,0.42314017604740206,1.00000103337248,1.5888123912752725e-17,(-30.684072923299166+50.81892745991773j),(15.909018461491586+9.288493154902756j),(16+0j),True
3.6-4.4,disk_x,0.0,standard,2.3821709954638088e-14,6.754228193830523e-14,1.7888834602145107e-14,0.48011703587292515,0.06398521765487723,0.45589774647219755,0.45555094189925893,0.45555094189925893,0.45579246482908264,0.05302628018367343,0.0,0.5088187419303656,0.1169305013595743,,,1.5888123912752725e-17,(-30.684072923299166+50.81892745991773j),(15.909018461491586+9.288493154902756j),(16+0j),True
3-6,flat_y,90.0,broadband,1.9914274340188182e-14,5.6463433340555185e-14,1.1723522613142517e-14,0.24011061340463258,0.337084236937506,0.4228051496578614,0.42275553911879127,0.42275553911879127,9.658067053888074e-34,0.422757308065354,0.0,0.42275730806535455,4.184324981223344e-06,0.42324401447328003,0.0011541222977403689,1.5888123912757566e-17,(-30.707059846566413+50.85010970213672j),(15.900728069005005+9.289194655416974j),(16+0j),True
3-6,disk_x,0.0,broadband,1.9914274340188182e-14,5.6463433340555185e-14,1.1723522613142517e-14,0.4859464342433284,0.047562776353716384,0.46649078940295524,0.4661239820667759,0.4661239820667759,0.4401967457824757,0.026212536657546772,0.0,0.46640927947177246,0.000612063347892027,,,1.5888123912757566e-17,(-30.707059846566413+50.85010970213672j),(15.900728069005005+9.289194655416974j),(16+0j),True
2.67-8,flat_y,90.0,broadband,1.7753071806427367e-14,5.033572247769029e-14,9.251377708296931e-15,0.42205012012578064,0.3725586271554963,0.205391252718723,0.20525442991484405,0.20525442991484405,1.0186406400413187e-33,0.4385364779059477,0.0,0.4385364779059482,1.1365506122712585,0.42324404837678065,0.5150447343511791,1.588812391275685e-17,(-30.713265553668776+50.84343346478952j),(15.900726213717398+9.289195622969771j),(16+0j),True
2.67-8,disk_x,0.0,broadband,1.7753071806427367e-14,5.033572247769029e-14,9.251377708296931e-15,0.4789922615688874,0.05196960568437836,0.4690381327467342,-1.1975058414950543,-1.1975058414950543,378.36109987337403,131388.8909449452,0.0,131767.25203933424,110035.74678238423,,,1.588812391275685e-17,(-30.713265553668776+50.84343346478952j),(15.900726213717398+9.289195622969771j),(16+0j),False
3-12,flat_y,90.0,broadband,1.9963935872208603e-14,5.6604239907489234e-14,9.267553392053973e-15,0.24011077581194762,0.33709558416168817,0.4227936400263642,0.4227644870207421,0.4227644870207421,9.653482704708053e-34,0.4227493707548471,0.0,0.4227493707548475,3.5755760851974515e-05,0.42324276331982486,0.0011300282970729664,1.5888123912757566e-17,(-30.716007063419184+50.87353645728481j),(15.900713142863252+9.289086702851183j),(16+0j),True
3-12,disk_x,0.0,broadband,1.9963935872208603e-14,5.6604239907489234e-14,9.267553392053973e-15,0.48600140273393855,0.04753830926232663,0.46646028800373485,0.4661187383780869,0.4661187383780869,0.44017595318771424,0.026217749351626102,0.0,0.46639369957153154,0.0005898951722073443,,,1.5888123912757566e-17,(-30.716007063419184+50.87353645728481j),(15.900713142863252+9.289086702851183j),(16+0j),True
