run,id,beam_x_um,beam_y_um,terminal_current_nA,temperature_max_K,temperature_gradient_max_K_m,local_J_total_max_A_m2,positive_contribution_nA,negative_contribution_nA,pte_reintegration_relative_error,total_J_reintegration_relative_error,local_J_constitutive_closure_relative_error,terminal_potential_max_abs_V,maximum_material_power_reintegration_relative_error,short_circuit_continuity_residual,reference_current_relative_error,field_path,field_size_bytes,field_sha256
44,position_x0_y0,0.0,0.0,92.02437418743347,0.3990220837037514,1293380.190947291,816578.5795129753,100.93256097574942,-8.908186788315986,1.2049162146343528e-16,2.1913088245826194e-10,1.4256475095926147e-16,0.0,2.0654969902662288e-16,7.902757075216035e-11,6.345311697787143e-13,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x0_y0.npz,12879643,96aa68608563ed251cf6ccc142b20dd049e0dbc5ae973736d72fa5231e59fc2d
44,position_x5_y0,5.0,0.0,46.33818144049042,0.3424142602657298,1175716.681243153,616502.0662281236,56.990498225828084,-10.652316785337685,2.9348770742311134e-16,4.3075982257007735e-09,1.8883200593176563e-16,0.0,0.0,7.099057027933874e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x5_y0.npz,12884846,2d3139be7a15b94132d2c5c27acea7a8876439d915761ff97c6588e1eaa8cda5
44,position_x10_y0,10.0,0.0,-8.341752170350619,0.27374381313851043,629612.926380081,301299.20435862563,9.065174335425501,-17.406926505776116,2.4997807843511687e-16,7.867953403094851e-09,1.931888968554491e-16,0.0,2.5592870607835815e-16,5.914101632940432e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x10_y0.npz,12864316,b5cab7131ba18d5e453461a674712ba7d7d33c77d06f26fb8be612461580d0ab
44,position_x-10_y5,-10.0,5.0,-5.208393817604913,0.24678821398467107,533236.5274997143,370451.425123858,5.919388819452601,-11.12778263705751,1.4556912529388634e-16,9.032276822509275e-09,1.5712629771637688e-16,0.0,2.6229369762135895e-16,5.192028332540406e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-10_y5.npz,12870082,ad33ea1c3606e8465c34f07a11ec55e3cb244af26e47e7fac16d4f3170c7a79b
44,position_x-5_y5,-5.0,5.0,27.650569183774586,0.4723933918358569,1572810.3657942598,575329.6776246079,36.0810314103974,-8.430462226622819,2.9733645670881246e-16,2.9219627501369312e-09,2.0234541403736464e-16,0.0,1.7089794640641105e-16,9.653421639742608e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-5_y5.npz,12893307,18085354ae32aeb2c047b8c4a465a36f2d0149eea460c03c134a117c257ee6c9
44,position_x0_y5,0.0,5.0,52.64916021862779,0.5233913280815392,1768215.15385491,886930.1141646148,59.41523809500379,-6.766077876376006,1.9997924801875943e-16,2.6910657462952406e-10,1.640705958222319e-16,0.0,1.7349526807619586e-16,5.0444717929493786e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x0_y5.npz,12896032,be29af58bbf39fb0a4acc033555695e1c150ba96869799659251c83d957053bd
44,position_x5_y5,5.0,5.0,27.43209431255542,0.4783395887930838,1598654.2162085422,594345.3840649448,35.9378473230458,-8.505753010490396,2.233430072303629e-16,1.5779216217799531e-09,1.9587149988568596e-16,0.0,1.7020627706454012e-16,3.361772339211905e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x5_y5.npz,12892423,4686ab43947665579c52c412a09f783c0339605ea3ea6a8aee8e4e407d744fa3
44,position_x10_y5,10.0,5.0,-5.271424781907148,0.24688748960110332,544656.4254389507,370776.89052173385,5.908904817192947,-11.18032959910009,1.452108255530252e-16,5.941358818217813e-09,1.5698837333567705e-16,0.0,2.1728208508359209e-16,6.581081869031647e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x10_y5.npz,12869256,20d4daae7e1c8c16ee34535893ebb2ed8426f0ddd298d25ee7b2b8710b10a47a
44,position_x-10_y10,-10.0,10.0,0.8937719667960664,0.23462224533170276,580682.7211093253,519112.8598414475,6.182866075561943,-5.289094108765877,4.50653484268464e-17,4.6994114334555706e-09,1.1212910605074542e-16,0.0,3.621189288146035e-16,8.180901843483905e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-10_y10.npz,12879720,eba6bcfdfe2cc848d17eeac9f01bc919f10f1ecb242774e7bae6206a6c51f49f
44,position_x-5_y10,-5.0,10.0,10.075168215895271,0.44671729468383264,1515375.299941776,522301.81852018274,15.333706936052668,-5.258538720157399,1.6067807782849993e-16,2.3954660704227123e-09,2.228889842979482e-16,0.0,1.5364513358288958e-16,7.552318371194786e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x-5_y10.npz,12896812,1ebcdc29ae1fb270e46892151df1285844b822393889bfed15ad202d8cd8ee8a
44,position_x0_y10,0.0,10.0,14.762102195956905,0.43098135701082435,1480691.5519602401,379710.3826789797,18.3565916906509,-3.594489494694004,2.2609745886374135e-16,6.645291459778115e-10,2.682660555128587e-16,0.0,2.699951261003983e-16,7.060069460927899e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x0_y10.npz,12902633,ef327f0da24cea332b21295a9986f3a9da27f7c6e0b051e819b6e662dcbe7d9b
44,position_x5_y10,5.0,10.0,10.02961501040828,0.45718347778943086,1553717.5454259196,584275.771210956,15.344965161842596,-5.315350151434319,2.4022303629261385e-16,4.474068851846395e-09,1.9924721777467374e-16,0.0,1.612476030665083e-16,5.5547143568829654e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x5_y10.npz,12896686,0fbdd79be7099bce18e3a11336339bb2e43b098ce396f7b72bc5b244886d3f0e
44,position_x10_y10,10.0,10.0,0.9062748890588214,0.2346450802029251,581799.7237961115,519336.6720325961,6.223469491389775,-5.317194602330953,1.791882611424191e-17,7.469898120074556e-09,2.2416156627511954e-16,0.0,2.2021718582440941e-16,4.406728091440985e-11,0.0,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run044/fields/position_x10_y10.npz,12879850,2ecc498bd9c52d2479e43e4c8d0635a7ffcfe65ebfcc71f44905b2f7e9cdc8fc
45,position_x-10_y-10,-10.0,-10.0,-4.98675985602504,0.09859952549891338,461123.7740923175,314495.6440116805,2.414962257297118,-7.401722113322155,2.52788186313312e-16,8.360536151886911e-10,1.850825663941646e-16,0.0,1.3894338664010318e-16,4.835428523922697e-11,3.758586488689684e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-10_y-10.npz,12929192,b00ed617fc874fad1102c41470cd825e7f61fefe15bb59756cf5778a009d5fa1
45,position_x-5_y-10,-5.0,-10.0,3.8998549128613793,0.1742679318531581,373147.9361668584,228233.40875455548,12.443595588213842,-8.543740675352467,1.182399617795709e-16,2.922771250429978e-10,2.5503567260858166e-16,0.0,0.0,5.7731037520872105e-11,1.4705061077889025e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-5_y-10.npz,12956326,f0daf14eb7c177b48af18621a371cd2f4b7f5322ae498377390d8f38fe3d0b95
45,position_x0_y-10,0.0,-10.0,14.51293666818793,0.19238460699673957,223921.43409001865,306309.079163454,21.19235798634708,-6.679421318159155,1.7806841899454002e-16,5.345275608220002e-10,1.9002917273113664e-16,0.0,1.5877690784024441e-16,8.949107334704758e-11,9.4955482272267e-13,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x0_y-10.npz,12950232,8534486ad6e9e7d64ede6a1cb3c744f65573ebdf426ed311e89dc5b26c45238a
45,position_x5_y-10,5.0,-10.0,3.8876034982183523,0.17442075988722283,376273.4918291516,261151.48873877982,12.446959312377286,-8.559355814158934,3.937771130111687e-17,4.5797739156288194e-10,2.228884897213448e-16,0.0,4.4294146587889847e-16,6.683363524427824e-11,1.4639483607935208e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x5_y-10.npz,12956417,972773088bd620afc3dc77c689aacd30564d861910645a801cce84a63ee1c44c
45,position_x10_y-10,10.0,-10.0,-5.021494188145778,0.09864104843916989,460990.52840438153,314571.33721406705,2.388592454028948,-7.410086642174723,1.6883512653731144e-16,6.137090159756288e-10,9.251901560544415e-17,0.0,2.7838501433202146e-16,4.799803129955362e-11,3.670633659669477e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x10_y-10.npz,12929117,07ea77fbaf11e26b4f8c773cb2a192f0e003dd5b6a3d990e6d8ca64b13dde135
45,position_x-10_y-5,-10.0,-5.0,-17.454231047791172,0.18953245488447618,600938.1503460016,174424.2372423982,3.7997940201869382,-21.2540250679781,2.6412918833401246e-16,1.5271976082391434e-10,3.3371314579736954e-16,0.0,1.8568194379495949e-16,7.727028174796201e-11,1.6850300025630053e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-10_y-5.npz,12914257,a6d0fda884d19fff3c43fc6a4a29727266c7fd28499783bf82e08f9c13367107
45,position_x-5_y-5,-5.0,-5.0,12.43197444400706,0.20089815174649125,580138.3370743064,268504.8106428668,22.657023853231582,-10.225049409224525,2.012477999062136e-16,1.5816155156139285e-10,2.167844247337837e-16,0.0,2.0234476070560769e-16,8.944715814220593e-11,3.624697991338354e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x-5_y-5.npz,12942919,ff586bc601673b83c7ac815d64e83e06cbee02d77f753438ef66692f8f695760
45,position_x0_y-5,0.0,-5.0,43.62146439744153,0.201352112736526,248659.36766467348,214168.4673701369,45.953407844050425,-2.331943446608903,1.3704870573664747e-16,2.404999212619558e-11,1.358922292068093e-16,0.0,1.8872488494090283e-16,8.189228688637465e-11,1.5286967822563047e-12,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x0_y-5.npz,12926109,a232c409f30c4e57e94a13847960456b9c3ad26112e44665064d6759239fd997
45,position_x5_y-5,5.0,-5.0,12.349004310938618,0.20070963599705216,579670.547511,319456.7250157389,22.57330131679969,-10.224297005861075,2.017661426096571e-16,2.892304035094808e-10,1.1388017600545044e-16,0.0,2.1819771238037215e-16,9.265511052552144e-11,3.6919879870697985e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x5_y-5.npz,12942693,a89650e90b80785c629b2e7c98e9d5bab0c359f82bc61dbff2cff4a831d14220
45,position_x10_y-5,10.0,-5.0,-17.547278713138635,0.189371167124788,580924.0118316188,207298.92615489714,3.6945005925872194,-21.241779305725853,0.0,1.3441295240469147e-10,1.4039547139277917e-16,0.0,2.178923100414178e-16,9.740670707299276e-11,1.6811293852947936e-11,/home/seunghyun/tairte4/artifacts/exact_binary_beam_position_fields_with_au/production/run045/fields/position_x10_y-5.npz,12914063,738ff6d2f5dceb7057c5929c58e77cf0c641fbc2131221308e767c3707f0c53c
