position_label,signed_s_from_edge_um,polarization,source_contract,source_power_reintegrated_W,PTE_terminal_current_A,PTE_terminal_current_nA,Tmax_rise_K,flake_average_rise_K,linear_residual_relative,energy_balance_relative_error,weighting_volume_area_equivalence_relative_error,no_Q_clipping_smoothing_gain_rescaling,abs_Ia_over_abs_Ib
s-1um,2.000000000000001,a,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.17673296, 'full_plane_absorbed_power_W': 5.0368893599999995e-05, 'finite_flake_absorbed_power_W': 3.1497485434236956e-05, 'finite_flake_fraction_of_full_plane': 0.6253360592823695, 'beta_m_inv': 12822441.103546137, 'eta_entrance_factor': 0.21787366562428911, 'waist_radius_m': 1.2e-05, 'center_x_m': -3.2575525525283256e-06, 'center_y_m': 5.928174284216927e-07}",3.1497485434236956e-05,5.616890901866741e-09,5.616890901866741,0.09968538635647595,0.021467507095717292,1.0388333247067078e-10,4.841004954230056e-12,1.4726663326825856e-16,True,0.6820139617610312
s-1um,2.000000000000001,b,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.26328721, 'full_plane_absorbed_power_W': 7.503685485e-05, 'finite_flake_absorbed_power_W': 4.6923251112842154e-05, 'finite_flake_fraction_of_full_plane': 0.6253360592823695, 'beta_m_inv': 3239626.7980653625, 'eta_entrance_factor': 0.7660170731601501, 'waist_radius_m': 1.2e-05, 'center_x_m': -3.2575525525283256e-06, 'center_y_m': 5.928174284216927e-07}",4.6923251112842154e-05,8.23574181291442e-09,8.235741812914421,0.14436635212607604,0.03156095443377791,1.0407512405357555e-10,5.0977308398639194e-12,0.0,True,0.6820139617610312
s0,3.000000000000001,a,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.17673296, 'full_plane_absorbed_power_W': 5.0368893599999995e-05, 'finite_flake_absorbed_power_W': 3.418312479836594e-05, 'finite_flake_fraction_of_full_plane': 0.678655462830455, 'beta_m_inv': 12822441.103546137, 'eta_entrance_factor': 0.21787366562428911, 'waist_radius_m': 1.2e-05, 'center_x_m': -2.452215668634704e-06, 'center_y_m': -1.5543122344752191e-21}",3.418312479836594e-05,3.97231003793286e-09,3.9723100379328597,0.10014449800320183,0.023337125345600104,1.0389999897899742e-10,6.204135006752825e-12,0.0,True,0.6823290584562466
s0,3.000000000000001,b,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.26328721, 'full_plane_absorbed_power_W': 7.503685485e-05, 'finite_flake_absorbed_power_W': 5.092417145756841e-05, 'finite_flake_fraction_of_full_plane': 0.6786554628304549, 'beta_m_inv': 3239626.7980653625, 'eta_entrance_factor': 0.7660170731601501, 'waist_radius_m': 1.2e-05, 'center_x_m': -2.452215668634704e-06, 'center_y_m': -1.5543122344752191e-21}",5.0924171457568415e-05,5.8216926110696755e-09,5.821692611069675,0.14505109576331932,0.03431041890758572,1.0527464105641752e-10,6.260078679812268e-12,1.4208593064157705e-16,True,0.6823290584562466
s+1um,4.000000000000001,a,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.17673296, 'full_plane_absorbed_power_W': 5.0368893599999995e-05, 'finite_flake_absorbed_power_W': 3.658227431525008e-05, 'finite_flake_fraction_of_full_plane': 0.726287033536311, 'beta_m_inv': 12822441.103546137, 'eta_entrance_factor': 0.21787366562428911, 'waist_radius_m': 1.2e-05, 'center_x_m': -1.6468787847410801e-06, 'center_y_m': -5.928174284216955e-07}",3.658227431525008e-05,2.0846979830753315e-09,2.0846979830753316,0.10048651122369642,0.0250144405463147,1.0251556154082551e-10,7.007939903859502e-12,0.0,True,0.6833160892922476
s+1um,4.000000000000001,b,"{'incident_power_W': 0.000285, 'TMM_absorption': 0.26328721, 'full_plane_absorbed_power_W': 7.503685485e-05, 'finite_flake_absorbed_power_W': 5.4498294714901245e-05, 'finite_flake_fraction_of_full_plane': 0.726287033536311, 'beta_m_inv': 3239626.7980653625, 'eta_entrance_factor': 0.7660170731601501, 'waist_radius_m': 1.2e-05, 'center_x_m': -1.6468787847410801e-06, 'center_y_m': -5.928174284216955e-07}",5.4498294714901245e-05,3.0508545250772316e-09,3.0508545250772316,0.1455605743394441,0.03677721853046599,1.0517166955578937e-10,7.016698563433763e-12,2.7113079491461087e-16,True,0.6833160892922476
