position_label,signed_s_from_edge_um,polarization,source_center_x_um,source_center_y_um,P_Q_W_at_1_W_m2,P_Q_reintegrated_W,Q_reintegration_relative_error,P_six_W_at_1_W_m2,six_face_closure,auto_shutoff_final,P_Qx_W,P_Qy_W,P_Qz_W,negative_Q_voxel_count,Q_finite,Q_shape,Q_coordinate_bounds_m,source_aperture_minimum_PML_clearance_m,case_acceptance_all_true,top_level_promoted_validated_flag,top_level_flag_interpretation
sminus1,2.000000000000001,a,-3.257552552528326,0.5928174284216932,2.967404433854614e-11,2.9677439794811726e-11,0.0001144251261083636,2.9745017556696203e-11,0.0023860540009694228,9.99515e-06,7.067487592034981e-13,2.870684318599446e-11,2.604523933481851e-13,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",1.7424474474716723e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
sminus1,2.000000000000001,b,-3.257552552528326,0.5928174284216932,4.016286976049105e-11,4.0163188690650554e-11,7.940920591694991e-06,4.0211417982288344e-11,0.0012073242932809907,9.71839e-06,3.9986579932223224e-11,1.4634252247655582e-13,2.9947305791271526e-14,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",1.7424474474716723e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
s0,3.000000000000001,a,-2.452215668634704,-8.881784197001252e-16,3.1896570934616587e-11,3.1899145052089513e-11,8.070201270861442e-05,3.1972162831501553e-11,0.002364303512507055,9.46101e-06,6.437590084773525e-13,3.096845840578203e-11,2.843535203572047e-13,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",2.5477843313652952e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
s0,3.000000000000001,b,-2.452215668634704,-8.881784197001252e-16,4.3616288326245206e-11,4.361649533644164e-11,4.746167186074755e-06,4.364555404615292e-11,0.0006705315248551616,9.96851e-06,4.345366091032595e-11,1.339345335685451e-13,2.869288235071306e-14,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",2.5477843313652952e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
splus1,4.000000000000001,a,-1.6468787847410813,-0.592817428421695,3.386492892924058e-11,3.386682417051104e-11,5.596472015103312e-05,3.3895138863348024e-11,0.000891276304523698,9.78222e-06,5.709873856483815e-13,3.2980266782373373e-11,3.1367476121882783e-13,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",3.35312121525892e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
splus1,4.000000000000001,b,-1.6468787847410813,-0.592817428421695,4.6706165706453327e-11,4.670629655192308e-11,2.8014603163252147e-06,4.673525512870901e-11,0.0006224299444942131,9.89737e-06,4.655877655117059e-11,1.2003737078019294e-13,2.735178450254297e-14,0,True,"[618, 637, 54]","{""x"": [-1.070221566863469e-05, 2.754484313300569e-05], ""y"": [-1.589733671164293e-05, 1.742380231875221e-05], ""z"": [-1.800000000000018e-07, 9.740269197847938e-08]}",3.35312121525892e-06,True,False,legacy base-script promotion flag; individual production optical gates are audited independently
