case,outer_xy_nm,fine_xy_nm,fine_half_span_um,P_Q_W,P_six_W,closure_percent,auto_shutoff,native_Yee_cells
coarse,100.00000000000001,50.00000000000001,22.0,2.2554323620511252e-11,2.2513910956067724e-11,0.17950086292153708,9.93242e-06,170135680
nested_refined,100.00000000000001,25.000000000000004,14.999999999999998,2.2547347225935546e-11,2.2505471777121036e-11,0.18606785598283193,9.98889e-06,396307080
